arm,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank
bilinear,all,1149,604,0.0473058907103092,0.047930613361441624,-0.0006247226511324269,-0.0010484977309697372,-0.00015569728512865208,0.9975,2000,True,0.4576245831606558,0.45910288820904444,-0.0014783050483886395,-0.016455338536861798,0.013406825438386871,0.4155
meanweight,low,380,239,0.059554305678534904,0.05923029855668104,0.0003240071218538615,-0.00038995590169803947,0.0010721345693226372,0.188,2000,True,0.2255724479785602,0.2592411358329265,-0.03366868785436633,-0.08592028578832712,0.010478776896731224,0.0705
meanweight,medium,280,238,0.048680782319070436,0.04921443950261454,-0.0005336571835441034,-0.0013471356712622296,0.0002503417454825705,0.907,2000,True,0.34828261242644665,0.3388774880449249,0.009405124381521746,-0.022441779663078372,0.047568740953137574,0.6925
meanweight,high,489,318,0.04285114868453624,0.04357424904176697,-0.0007231003572307285,-0.0011056372692503813,-0.0003486381320165696,1.0,2000,True,0.4967261860174832,0.4890879371853569,0.007638248832126271,-0.008818502119657698,0.024757567762304287,0.8105
meanweight,all,1149,604,0.047489500199877445,0.047930613361441624,-0.0004411131615641786,-0.000765658809734027,-0.00010635876491334947,0.9945,2000,True,0.4565312976831276,0.45910288820904444,-0.0025715905259168226,-0.016031921116075046,0.010670350540105053,0.3405
invfreq,low,380,239,0.07105831567557809,0.05923029855668104,0.011828017118897048,0.00630029061917794,0.016838974836396545,0.0,2000,True,0.23322446125539784,0.2592411358329265,-0.02601667457752868,-0.08444733500079706,0.03147595898058617,0.193
invfreq,medium,280,238,0.06215869936019327,0.04921443950261454,0.01294425985757873,0.006723281415783076,0.018901696170698683,0.0,2000,True,0.30450908306631014,0.3388774880449249,-0.034368404978614764,-0.09877199954246291,0.030165432879935613,0.143
invfreq,high,489,318,0.05671111887199281,0.04357424904176697,0.013136869830225842,0.008643751764764156,0.017482031849556302,0.0,2000,True,0.3970005813322078,0.4890879371853569,-0.09208735585314914,-0.1399931695387844,-0.04541897699023428,0.0
invfreq,all,1149,604,0.06066851287304733,0.047930613361441624,0.012737899511605706,0.009495780875016143,0.01578070449173864,0.0,2000,True,0.3939530811941649,0.45910288820904444,-0.06514980701487955,-0.09625433916256342,-0.03442160449048513,0.0
nospray,low,380,239,0.05956132276939859,0.05923029855668104,0.0003310242127175511,-0.0002614496963832872,0.0009774581628103937,0.1445,2000,True,0.23578518496187006,0.2592411358329265,-0.023455950871056452,-0.06008786578982348,0.012912862797815405,0.12
nospray,medium,280,238,0.04997793313133932,0.04921443950261454,0.0007634936287247776,8.037600411303758e-05,0.0014674002396552267,0.015,2000,True,0.3099618721643512,0.3388774880449249,-0.028915615880573675,-0.061636841450079964,0.003542543165484848,0.048
nospray,high,489,318,0.04296530495604221,0.04357424904176697,-0.0006089440857247538,-0.0011607388567959143,-0.00010470669100685464,0.993,2000,True,0.4929595037184773,0.4890879371853569,0.003871566533120374,-0.017386936673332493,0.024829059448338575,0.638
nospray,all,1149,604,0.04782815434282211,0.047930613361441624,-0.00010245901861951484,-0.0004735741588811272,0.0002692863955040847,0.708,2000,True,0.45177866222066626,0.45910288820904444,-0.007324225988378175,-0.02260091882390519,0.007080656402049897,0.158
block,low,380,239,0.05917324571851967,0.05923029855668104,-5.705283816137552e-05,-0.0006664779840673997,0.000567593644586291,0.565,2000,True,0.24023272000005932,0.2592411358329265,-0.019008415832867193,-0.04036487428774313,0.0005316056732283805,0.03
