head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
spray,two_strike,1,bin_14,46547,0.04167830365007412,0.040884247095751655,-0.0007940565543224642,-0.019052036306210177
spray,two_strike,1,bin_15,46547,0.040647087889659914,0.04012967566467789,-0.0005174122249820209,-0.012729379934586749
spray,two_strike,1,bin_16,46547,0.04060412056630932,0.03905562394123983,-0.0015484966250694926,-0.03813644042704216
spray,two_strike,1,bin_17,46547,0.04028186564117988,0.03945071610324823,-0.0008311495379316469,-0.02063334268912233
spray,two_strike,1,bin_18,46547,0.03929361720411627,0.03964996641073352,0.00035634920661724995,0.00906888273396016
spray,two_strike,1,bin_19,46547,0.043182159967344834,0.039765105409120725,-0.0034170545582241085,-0.07913116344361074
spray,two_strike,1,bin_20,46547,0.04215094420693063,0.039410387569053525,-0.0027405566378771035,-0.06501768084773983
spray,two_strike,1,bin_21,46547,0.0417642382967753,0.039723670403225865,-0.002040567893549436,-0.048859214887369135
spray,two_strike,1,bin_22,46547,0.04191462392850238,0.03990567073320579,-0.0020089531952965853,-0.04792964858096881
spray,two_strike,1,bin_23,46547,0.04741444131737813,0.04564248834488577,-0.0017719529724923647,-0.03737158813348532
spray,two_strike,0,expected_bin_index,74606,11.760877141248693,11.460944280176822,-0.29993286107187167,-0.02550259283127132
spray,two_strike,1,expected_bin_index,46547,11.492212172642706,11.281239584947958,-0.21097258769474792,-0.018357874404457106
