model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted
trailing_raw,low,xwoba,380,33003.0,32701.0,0.09846686355837374,,,0.08409884877342975,0.11806972556534658
trailing_raw,medium,xwoba,280,37072.0,36817.0,0.0564118202799049,,,0.21367564819522114,0.13870947381726695
trailing_raw,high,xwoba,489,111752.0,110883.0,0.035988298924017365,,,0.5342729065879597,0.556775629407468
trailing_raw,all,xwoba,1149,181827.0,180401.0,0.056595488999827824,,,0.3390023193316979,0.42064734625019135
trailing_bucketed,low,woba,380,33003.0,32781.0,0.0659836639405918,0.05104423255256524,0.04181303899676025,0.015696489597571698,-0.05941913022740791
trailing_bucketed,medium,woba,280,37072.0,36877.0,0.05851910485262597,0.04271879195804831,0.039994880252322534,0.15208115411854056,0.14313721345789282
trailing_bucketed,high,woba,489,111752.0,111114.0,0.04314852422556171,0.033382869207523966,0.027338236708266937,0.4424224200391211,0.4895888863925277
trailing_bucketed,all,woba,1149,181827.0,180772.0,0.05130775015653583,0.03911196566129376,0.03320751975434601,0.2581327643964411,0.3603625223461905
trailing_bucketed,low,xwoba,380,33003.0,32701.0,0.05369071278548471,,,0.02509077111173518,-0.019547396954217415
trailing_bucketed,medium,xwoba,280,37072.0,36817.0,0.049202365790238754,,,0.2223308241905418,0.16593146430034866
trailing_bucketed,high,xwoba,489,111752.0,110883.0,0.03600430051207466,,,0.533406334473848,0.5565842181445034
trailing_bucketed,all,xwoba,1149,181827.0,180401.0,0.042583757039592,,,0.33681851799406914,0.4276606039164845
trailing_xwoba,low,woba,380,33003.0,32781.0,0.06344641872333925,0.05104423255256524,0.03768201655879013,-0.010188288087103193,0.019860897585171785
trailing_xwoba,medium,woba,280,37072.0,36877.0,0.05127949369003921,0.04271879195804831,0.02836708104038478,0.21778846061861862,0.253818352332118
trailing_xwoba,high,woba,489,111752.0,111114.0,0.04188744493437472,0.033382869207523966,0.025301029358577934,0.48076546519241325,0.5180532811196988
trailing_xwoba,all,woba,1149,181827.0,180772.0,0.04842377753971909,0.03911196566129376,0.028550242964394904,0.29780929575466963,0.4248372003316249
trailing_xwoba,low,xwoba,380,33003.0,32701.0,0.05054674419587946,,,0.012094848043543221,0.06792659280428757
trailing_xwoba,medium,xwoba,280,37072.0,36817.0,0.039621235151752573,,,0.3256364421557855,0.338019255505098
trailing_xwoba,high,xwoba,489,111752.0,110883.0,0.03265283723425666,,,0.6014901263733896,0.6398119066485471
trailing_xwoba,all,xwoba,1149,181827.0,180401.0,0.03793227896540647,,,0.39394510766417423,0.5360467844416734
no_info_league_average,low,woba,380,33003.0,32781.0,0.06309892525966722,0.05104423255256524,0.03709394414247033,0.0023641254918442666,-0.07302327735660946
no_info_league_average,medium,woba,280,37072.0,36877.0,0.05141567928356511,0.04271879195804831,0.02861253029418078,0.04659313211986521,0.05080009972015069
no_info_league_average,high,woba,489,111752.0,111114.0,0.04794515246583336,0.033382869207523966,0.03441397519097954,0.11486235973226791,0.10707293028650613
no_info_league_average,all,woba,1149,181827.0,180772.0,0.05171294427153656,0.03911196566129376,0.03383020466004934,0.012907374322424153,0.015071635492151675
no_info_league_average,low,xwoba,380,33003.0,32701.0,0.05037512346354823,,,-0.010903925141742838,-0.0885673628857378
no_info_league_average,medium,xwoba,280,37072.0,36817.0,0.03936583593676777,,,-0.024517932724763266,-0.017333508442093745
no_info_league_average,high,xwoba,489,111752.0,110883.0,0.04476749124430634,,,0.14888665036970244,0.11380428022135851
no_info_league_average,all,xwoba,1149,181827.0,180401.0,0.04481173385424316,,,-0.016224162057734016,-0.015326962869738387
gbm_outcome,low,woba,380,33003.0,32781.0,0.05942877710658962,0.05104423255256524,0.030434616335750807,0.11072574012031952,0.08462171505371632
gbm_outcome,medium,woba,280,37072.0,36877.0,0.050209361282221344,0.04271879195804831,0.026383418542971545,0.21128518711569277,0.18113572564284722
gbm_outcome,high,woba,489,111752.0,111114.0,0.04096350739961049,0.033382869207523966,0.023740113351694243,0.4810986644844326,0.49545680234604994
gbm_outcome,all,woba,1149,181827.0,180772.0,0.04675610676022231,0.03911196566129376,0.025620063651034985,0.3444598035626816,0.40410204365794444
gbm_outcome,low,xwoba,380,33003.0,32701.0,0.047268219005595705,,,0.06279278455786716,0.1037444642993715
gbm_outcome,medium,xwoba,280,37072.0,36817.0,0.03848658915887965,,,0.2990280488271534,0.21830244409668645
gbm_outcome,high,xwoba,489,111752.0,110883.0,0.035013067359022085,,,0.5672468051180926,0.5576885240857106
gbm_outcome,all,xwoba,1149,181827.0,180401.0,0.038220461559053925,,,0.43289629851330375,0.47925811335977186
gbm_full,low,woba,380,33003.0,32781.0,0.05867962487235527,0.05104423255256524,0.02894451067611914,0.12875257984119964,0.16650078485938694
gbm_full,medium,woba,280,37072.0,36877.0,0.049488485344163766,0.04271879195804831,0.02498429497313259,0.25735940255053485,0.2615319790480802
gbm_full,high,woba,489,111752.0,111114.0,0.040806922984289215,0.033382869207523966,0.023468894454555366,0.49785419749716253,0.5238435916195114
gbm_full,all,woba,1149,181827.0,180772.0,0.04634174207058626,0.03911196566129376,0.024855808179307343,0.37043724629850255,0.4417489797933145
gbm_full,low,xwoba,380,33003.0,32701.0,0.04565470422875892,,,0.1063031855772991,0.22470137306934432
gbm_full,medium,xwoba,280,37072.0,36817.0,0.037324132906211505,,,0.35191848292525596,0.3335270034117834
gbm_full,high,xwoba,489,111752.0,110883.0,0.03365710542412647,,,0.600198991393802,0.6106297107573437
gbm_full,all,xwoba,1149,181827.0,180401.0,0.03685658740717017,,,0.46378658928083194,0.5389096376999527
min_pa_sweep_embedding_sgd_sgd_lr1,low,woba,380,33003.0,32781.0,0.0583085802579168,0.05104423255256524,0.028184691852379085,0.15801347485509393,0.259334768008471
min_pa_sweep_embedding_sgd_sgd_lr1,medium,woba,280,37072.0,36877.0,0.047116682991223506,0.04271879195804831,0.01987678620251366,0.33598005148938603,0.350634030257863
min_pa_sweep_embedding_sgd_sgd_lr1,high,woba,489,111752.0,111114.0,0.042677518672424974,0.033382869207523966,0.02658861868372501,0.47716155556057294,0.481160386559373
min_pa_sweep_embedding_sgd_sgd_lr1,all,woba,1149,181827.0,180772.0,0.04678603764195768,0.03911196566129376,0.025674646255488275,0.3914776037077302,0.44679196275463967
min_pa_sweep_embedding_sgd_sgd_lr1,low,xwoba,380,33003.0,32701.0,0.04735217144952822,,,0.18711564795356667,0.2603326867381785
min_pa_sweep_embedding_sgd_sgd_lr1,medium,xwoba,280,37072.0,36817.0,0.034839480889262774,,,0.43509246655842915,0.4390595531972451
min_pa_sweep_embedding_sgd_sgd_lr1,high,xwoba,489,111752.0,110883.0,0.03441597051236037,,,0.5936049769399866,0.589312612450984
min_pa_sweep_embedding_sgd_sgd_lr1,all,xwoba,1149,181827.0,180401.0,0.03717774886028337,,,0.4986426617597669,0.5470451179002396
