batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
664023,-0.03535864232385971,-0.006091071654199698,161.0,495.0,768.0,L,242.97256097560975,high,-0.02646739235162382
664034,0.006088007592957967,0.012002719938895456,134.0,401.0,666.0,R,200.8747663551402,high,0.014940144761076635
664040,0.0245559116809117,-0.043279149054740396,72.0,351.0,461.0,L,119.48936170212765,high,-0.02646739235162382
664056,-0.03370079688658262,0.017638505037614383,152.0,284.0,519.0,R,198.0183486238532,high,0.014940144761076635
664238,0.04610333333333333,0.01403236097406757,175.0,264.0,509.0,R,210.47835990888385,high,0.014940144761076635
664314,0.11934523809523812,-0.033760385355009914,14.0,96.0,22.0,L,24.436363636363637,low,-0.02646739235162382
664728,-0.09600710124590722,-0.03520080827088912,67.0,351.0,126.0,L,112.52153110047847,medium,-0.02646739235162382
664761,0.01654518119955689,0.018214769292674016,178.0,426.0,520.0,R,251.0860927152318,high,0.014940144761076635
664770,-0.11878666666666665,-0.03921320004843276,14.0,75.0,5.0,L,23.59550561797753,low,-0.02646739235162382
664774,0.03991622824767305,-0.03288104090173427,42.0,353.0,164.0,L,75.06835443037974,medium,-0.02646739235162382
664874,0.13561057692307693,0.0075170817623300135,16.0,26.0,130.0,R,19.80952380952381,medium,0.014940144761076635
664901,0.1414798951048951,0.01012869067075789,52.0,88.0,198.0,R,65.37142857142857,medium,0.014940144761076635
664913,-0.002528033794162776,-0.03565046970005059,28.0,372.0,203.0,L,52.080000000000005,medium,-0.02646739235162382
664983,-0.028403747463897788,-0.03322913752679163,147.0,342.0,208.0,L,205.61963190184048,medium,-0.02646739235162382
665019,0.04488167388167391,-0.035428686725719916,21.0,99.0,41.0,L,34.65,low,-0.02646739235162382
665052,0.005002100840336088,-0.03661219067961502,21.0,68.0,0.0,L,32.08988764044944,low,-0.02646739235162382
665161,0.05772761292761297,0.017192875907053817,165.0,481.0,325.0,R,245.71207430340553,medium,0.014940144761076635
665487,-0.06111620762711861,0.012720488455715495,118.0,320.0,430.0,R,172.4200913242009,medium,0.014940144761076635
665489,0.00463836443914728,0.018613030252623786,134.0,551.0,624.0,R,215.57372262773723,high,0.014940144761076635
665506,0.08558026124818577,0.014480731547329428,130.0,53.0,161.0,R,75.30054644808743,medium,0.014940144761076635
665561,-0.007217391304347842,-0.0015422800086666855,23.0,32.0,24.0,L,26.763636363636365,low,-0.02646739235162382
665742,-0.011090374965787853,-0.03460349369862881,226.0,485.0,1075.0,L,308.32630098452887,high,-0.02646739235162382
665750,-0.054589295774647884,-0.007544116352643682,100.0,426.0,350.0,L,161.97718631178705,medium,-0.02646739235162382
665782,0.21349159663865547,0.016602851566963395,14.0,17.0,0.0,R,15.354838709677422,low,0.014940144761076635
665804,-0.10577525335076823,0.014309218943406476,92.0,266.0,64.0,R,136.7150837988827,low,0.014940144761076635
665828,-0.1065611658251262,-0.0050491540354402065,83.0,241.0,102.0,L,123.47530864197532,low,-0.02646739235162382
665833,-0.05111753246753248,-0.061041487203685296,154.0,440.0,122.0,L,228.14814814814815,medium,-0.02646739235162382
665839,-0.15431856378915199,-0.02979545678777712,35.0,187.0,16.0,L,58.96396396396397,low,-0.02646739235162382
665862,-0.025031198686371048,-0.04210388207376731,210.0,406.0,295.0,L,276.81818181818176,medium,-0.02646739235162382
665877,-0.19181209781209785,0.010676809337752613,42.0,37.0,19.0,R,39.34177215189873,low,0.014940144761076635
665923,0.2272222222222222,0.012377511592687185,36.0,27.0,168.0,R,30.857142857142858,medium,0.014940144761076635
665926,-0.03674047122283858,-0.028629106566494478,172.0,457.0,384.0,L,249.93322734499205,medium,-0.02646739235162382
665953,0.17093256704980844,0.016602851566963395,45.0,87.0,0.0,R,59.31818181818181,low,0.014940144761076635
666018,-0.07979456706281834,-0.03034536906324503,19.0,124.0,16.0,L,32.95104895104895,low,-0.02646739235162382
666023,0.03919369918699184,0.013265436987014434,120.0,246.0,66.0,R,161.31147540983608,low,0.014940144761076635
666134,-0.05152970297029702,-0.049462750154907364,92.0,202.0,135.0,L,126.42176870748298,medium,-0.02646739235162382
666139,-0.06022462462462458,-0.041089347679881705,50.0,333.0,113.0,L,86.94516971279374,medium,-0.02646739235162382
666149,0.058347241379310355,0.016759645926877287,116.0,225.0,12.0,R,153.07917888563048,low,0.014940144761076635
666150,0.009338374109034903,-0.03889499980235028,58.0,179.0,29.0,L,87.61181434599156,low,-0.02646739235162382
666152,-0.08322501872659174,-0.035595265056468595,50.0,267.0,3.0,L,84.22712933753944,low,-0.02646739235162382
666158,-0.13706311212814642,-0.040217667602180984,50.0,437.0,230.0,L,89.73305954825462,medium,-0.02646739235162382
666160,-0.05990712420738531,-0.03628980259861736,35.0,383.0,90.0,L,64.13875598086125,low,-0.02646739235162382
666163,-0.03967247386759584,-0.04095273761812307,41.0,287.0,28.0,L,71.75,low,-0.02646739235162382
666176,0.08930707915273128,0.009223711658789824,104.0,345.0,217.0,R,159.8218262806236,medium,0.014940144761076635
666181,-0.04892018927444791,-0.0359286795842923,70.0,317.0,50.0,L,114.67700258397933,low,-0.02646739235162382
666182,-0.11078287841191065,0.01631990591830257,62.0,273.0,481.0,R,101.05074626865671,high,0.014940144761076635
666185,0.033350266142096685,-0.0029237546204466947,116.0,149.0,377.0,L,130.4452830188679,medium,-0.02646739235162382
666310,-0.03041629881154495,-0.03188776980346458,76.0,310.0,52.0,L,122.07253886010362,low,-0.02646739235162382
666397,-0.014637946630483956,-0.04136359799453265,33.0,268.0,48.0,L,58.76411960132891,low,-0.02646739235162382
666464,-0.038084848484848444,0.00827636871115156,44.0,75.0,27.0,R,55.462184873949575,low,0.014940144761076635
666624,-0.05117515527950309,0.016353124993352786,125.0,483.0,219.0,R,198.60197368421055,medium,0.014940144761076635
666703,0.2357333333333333,0.014580602422696376,36.0,20.0,10.0,R,25.714285714285715,low,0.014940144761076635
666915,-0.08768940493468796,0.0157304486476873,39.0,53.0,351.0,R,44.93478260869565,medium,0.014940144761076635
666969,0.01624651315789477,0.010221463107848994,160.0,475.0,580.0,R,239.37007874015748,high,0.014940144761076635
666971,0.07730403916768658,0.013361361215361411,172.0,380.0,666.0,R,236.81159420289856,high,0.014940144761076635
667452,0.06106436420722136,0.01497082611076983,91.0,98.0,76.0,R,94.37037037037037,low,0.014940144761076635
667472,0.07132034632034634,0.01608978775537473,66.0,42.0,20.0,R,51.333333333333336,low,0.014940144761076635
667670,0.0009524366471735379,0.017627070752138596,135.0,475.0,282.0,R,210.24590163934425,medium,0.014940144761076635
668227,0.045547375394844214,0.014156258251775744,181.0,467.0,521.0,R,260.8858024691358,high,0.014940144761076635
668670,-0.0453255011283685,0.015409951621690787,93.0,243.0,178.0,R,134.51785714285714,medium,0.014940144761076635
668709,-0.03031259004071407,-0.031240213533440586,124.0,515.0,115.0,L,199.87480438184664,medium,-0.02646739235162382
668715,-0.017496097337006355,0.012584944173629098,171.0,484.0,203.0,R,252.7145038167939,medium,0.014940144761076635
668723,0.1565944055944056,0.016077921846177123,22.0,26.0,0.0,R,23.833333333333332,low,0.014940144761076635
668800,-0.04160101010101011,0.010111951843349731,27.0,66.0,209.0,R,38.32258064516129,medium,0.014940144761076635
