min_eval_pa,opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_model_v1,rank_favours_model_v1
25,gbm_full,high,469,309,0.042083305640153716,0.04015572999125573,0.0019275756488979848,0.0005214264173646889,0.003311701256555792,0.0035,2000,True,0.4801552499238107,0.5241820500116834,-0.044026800087872686,-0.10022413151745246,0.013868704822972333,0.069,False,False
25,gbm_full,all,1013,561,0.04524744784489553,0.044623960202315356,0.0006234876425801755,-0.00046323071399202855,0.001759679389780255,0.1325,2000,True,0.44642992352471517,0.44136753552870944,0.005062387996005724,-0.033000468980815635,0.041315423365607756,0.6045,False,False
25,eb_bivariate,low,294,204,0.05525635969111394,0.05777140541752363,-0.00251504572640969,-0.006813645530846879,0.0015746880891958771,0.8815,2000,True,0.2650799226350978,0.15259969781131122,0.11248022482378656,-0.06328020766429901,0.27835802280367367,0.8995,False,False
25,eb_bivariate,medium,250,218,0.044960949883306,0.04843619869901355,-0.0034752488157075503,-0.00633085493733572,-0.0006199312824057498,0.9905,2000,True,0.35092674191946477,0.1909274508941683,0.15999929102529648,0.014773663636749146,0.3026631866895555,0.9815,True,True
25,eb_bivariate,high,469,309,0.042083305640153716,0.0404187181667476,0.001664587473406115,5.2149276857577444e-05,0.0033091863279263367,0.0215,2000,True,0.4801552499238107,0.5089502673836388,-0.0287950174598281,-0.09591021119139052,0.03646085294279313,0.19,False,False
25,eb_bivariate,all,1013,561,0.04524744784489553,0.04558710609134058,-0.0003396582464450515,-0.0017961241882060164,0.0011252932719989716,0.677,2000,True,0.44642992352471517,0.41337771527283984,0.033052208251875326,-0.01918380029052831,0.08883261817968893,0.8855,False,False
50,gbm_full,low,194,141,0.05046305174492219,0.048408903956446835,0.0020541477884753537,-0.0014516458066046267,0.005589932087222313,0.1395,2000,True,0.2778090949296644,0.18121120645150007,0.0965978884781643,-0.07950258653916893,0.25890409229677164,0.859,False,False
50,gbm_full,medium,210,183,0.042694517310002664,0.04508770739851867,-0.0023931900885160035,-0.0047654696182052045,-0.00019489786210787218,0.983,2000,True,0.34715673573731687,0.24202554366823265,0.10513119206908422,0.005278130989099362,0.21913997166584073,0.9805,True,True
50,gbm_full,high,444,300,0.04094593823638175,0.03904575227600037,0.0019001859603813773,0.0004129704947721304,0.003368236256349448,0.0055,2000,True,0.48454032060868046,0.527139309809466,-0.04259898920078553,-0.10134988462351335,0.01549023938986145,0.071,False,False
50,gbm_full,all,848,493,0.04297129959831441,0.04194727455155318,0.0010240250467612316,-0.00015664081435079954,0.0022757637912904894,0.0425,2000,True,0.4426871353058421,0.4394371309173934,0.0032500043884486907,-0.03736396165847888,0.04188726873767406,0.546,False,False
50,eb_bivariate,low,194,141,0.05046305174492219,0.05092084700633909,-0.00045779526141689897,-0.005839643807847928,0.004451707486503192,0.5845,2000,True,0.2778090949296644,0.14002035678510158,0.1377887381445628,-0.060421504293497595,0.3237823171485413,0.899,False,False
50,eb_bivariate,medium,210,183,0.042694517310002664,0.04639995090152309,-0.003705433591520424,-0.006663459911683399,-0.0009287347808840999,0.9975,2000,True,0.34715673573731687,0.17703977178320826,0.1701169639541086,0.01857117040065917,0.31849799600959167,0.9855,True,True
50,eb_bivariate,high,444,300,0.04094593823638175,0.03930481048199848,0.0016411277543832703,-0.00010868742577631333,0.003361043912680726,0.0285,2000,True,0.48454032060868046,0.5128748960359181,-0.028334575427237607,-0.09570801861355499,0.0391908271811981,0.2055,False,False
50,eb_bivariate,all,848,493,0.04297129959831441,0.042860753734568144,0.00011054586374626557,-0.001409519324705371,0.001686984201185127,0.4375,2000,True,0.4426871353058421,0.4143531332683137,0.028334002037528394,-0.03281438903823242,0.08317000395720062,0.816,False,False
