p_throws,stand,balls,strikes,n_pitchers,n_exact_pitches,n_league_pitches,sampled_ball,sampled_called_strike,sampled_hbp,sampled_in_zone,exact_ball,exact_called_strike,exact_hbp,exact_in_zone,league_ball,league_called_strike,league_hbp,league_in_zone,backoff_exact,backoff_strikes,backoff_stand,backoff_empty,draw_gap_ball,pool_gap_ball,draw_gap_called_strike,pool_gap_called_strike,draw_gap_hbp,pool_gap_hbp,draw_gap_in_zone,pool_gap_in_zone
L,L,3,1,575,10701,65029,0.40114349191168863,0.5948373448520622,0.004019163236249422,0.608055838187854,0.38481207565220177,0.6116393990294887,0.0035485253183101077,0.6220105378184646,0.3987228303828093,0.5999801776288046,0.0012969919883861342,0.6014854910885913,5460,1148,292,4,0.016331416259486864,-0.013910754730607544,-0.01680205417742653,0.011659221400684094,0.0004706379179393143,0.0022515333299239736,-0.013954699630610579,0.02052504672987332
L,L,3,2,575,24593,142770,0.43571919697965833,0.560223628607833,0.004057174412508549,0.5686832036779884,0.42566483688433676,0.5710139634338548,0.0033211996818090363,0.5895356230342579,0.4356393895993688,0.5626662186067117,0.0016943917939194046,0.571338516495062,5460,1148,292,4,0.010054360095321568,-0.009974552715032059,-0.010790334826021764,0.008347744827143067,0.000735974730699513,0.0016268078878896317,-0.02085241935626947,0.01819710653919593
L,R,0,0,579,329827,986111,0.46706617240857584,0.5318824512320344,0.001051376359390209,0.5276013949470497,0.47545310554872966,0.5228377105659504,0.0017091838853162474,0.5174834847303169,0.46411743109223963,0.5327774739433805,0.00310509496437991,0.5315943134190776,5923,829,196,0,-0.008386933140153818,0.01133567445649003,0.009044740666083961,-0.009939763377430078,-0.0006578075259260384,-0.0013959110790636628,0.010117910216732806,-0.01411082868876068
L,R,0,1,579,164711,503448,0.5752227120953675,0.42105240433680813,0.00372488356782443,0.41009914646588536,0.5676070322878779,0.4294165191312326,0.0029764485808892274,0.42560871817108403,0.5545409563887095,0.44187684574643127,0.0035821978648592537,0.43918140503090686,5923,829,196,0,0.0076156798074895615,0.013066075899168417,-0.008364114794424449,-0.012460326615198691,0.0007484349869352025,-0.0006057492839700264,-0.015509571705198677,-0.013572686859822825
L,R,0,2,579,85106,262681,0.6929832332730391,0.3024756115700025,0.004541155156958584,0.3113885126608153,0.6861567310061308,0.3095093632152175,0.004333905778651568,0.3127165553910269,0.6801888033366501,0.3166788199027015,0.003132376760648441,0.319162786802243,5923,829,196,0,0.006826502266908285,0.005967927669480733,-0.0070337516452149695,-0.007169456687484033,0.00020724937830701642,0.0012015290180031266,-0.0013280427302115871,-0.006446231411216141
L,R,1,0,579,129993,374383,0.45359076292594064,0.5451007026775847,0.0013085343964748504,0.5459642873647801,0.4638205113951888,0.534699678999208,0.0014798096056014638,0.5312145223556509,0.4544555180822103,0.5430503213793981,0.0024941605383914742,0.542348343808346,5923,829,196,0,-0.010229748469248179,0.00936499331297852,0.010401023678376697,-0.00835064238019012,-0.0001712752091266134,-0.0010143509327900104,0.014749765009129168,-0.011133821452695036
L,R,1,1,579,131879,388770,0.5251450271357607,0.4733566453867849,0.001498327477454571,0.46380425238445655,0.5175572271056014,0.4800466750051305,0.002396097889269125,0.47923549114786235,0.5068827705909889,0.4898955832970657,0.003221646111945556,0.4895413740772179,5923,829,196,0,0.007587800030159353,0.010674456514612518,-0.006690029618345583,-0.009848908291935188,-0.0008977704118145542,-0.0008255482226764308,-0.015431238763405797,-0.010305882929355525
L,R,1,2,579,123741,374658,0.621877436987782,0.37383259244164263,0.004289970570575471,0.3763904145381638,0.6311965556941792,0.3648799277860448,0.003923516519777626,0.36681969502367384,0.6264080627513245,0.3703384856223471,0.003253451626328376,0.37263851299051404,5923,829,196,0,-0.009319118706397234,0.004788492942854661,0.008952664655597853,-0.005458557836302336,0.00036645405079784553,0.0006700648934492496,0.009570719514489956,-0.005818817966840195
L,R,2,0,579,44614,124541,0.43639398788054284,0.5625491913006935,0.0010568208187637206,0.5497200507641282,0.4214457559491807,0.5774666813258975,0.0010875627249210453,0.572511788379795,0.41553777403081976,0.5822609291055192,0.00220129686366097,0.5821857862069519,5923,829,196,0,0.014948231931362133,0.0059079819183609494,-0.014917490025204039,-0.004794247779621674,-3.074190615732467e-05,-0.0011137341387399248,-0.022791737615666774,-0.009673997827156944
L,R,2,1,579,69154,197347,0.4409441728954434,0.5579616647057759,0.00109416239878069,0.5453691952748125,0.453661816400518,0.5449345014098977,0.0014036821895847644,0.5425918278641904,0.4454073375242799,0.5520654366948025,0.002527225780917669,0.551505723421182,5923,829,196,0,-0.012717643505074594,0.008254478876238092,0.013027163295878164,-0.007130935284904716,-0.0003095197908040744,-0.0011235435913329048,0.002777367410622178,-0.008913895556991625
