model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,skill_vs_no_info
trailing_xwoba,low,woba,384,32750.0,32561.0,0.06398984260275474,0.05153512293418807,0.03793192666453219,0.03762752667027625,0.10330114549220698,-0.04730938128325923
trailing_xwoba,medium,woba,280,37853.0,37596.0,0.04861766171716141,0.04243660924372465,0.023723642779720108,0.28081825410080646,0.3480953433015649,0.23944172929964547
trailing_xwoba,high,woba,493,111557.0,110811.0,0.041472157894178935,0.03343467488451469,0.024536959790620167,0.4480521314398418,0.466075464465531,0.3940896281409345
trailing_xwoba,all,woba,1157,182160.0,180968.0,0.04775938632132562,0.03919813585330008,0.027284888261010998,0.30304723169651954,0.4104973420328937,0.2624377227869352
no_info_league_average,low,woba,384,32750.0,32561.0,0.06347995461094037,0.05153512293418807,0.037065290253351216,0.06824824866611996,0.017749656752550236,0.0
no_info_league_average,medium,woba,280,37853.0,37596.0,0.05040697684232601,0.04243660924372465,0.027202895255435837,0.04279642510812054,-0.08671107186790188,0.0
no_info_league_average,high,woba,493,111557.0,110811.0,0.04595135199120354,0.03343467488451469,0.03152220273372862,0.016373705542318692,-0.023763794830048226,0.0
no_info_league_average,all,woba,1157,182160.0,180968.0,0.05045644518740856,0.03919813585330008,0.0317704108657127,0.006976601544964625,-0.06902528596487606,0.0
gbm_outcome,low,woba,384,32750.0,32561.0,0.06041021440957923,0.05153512293418807,0.03152023332987015,0.08463756303341054,0.07231795087773565,0.27682394691700085
gbm_outcome,medium,woba,280,37853.0,37596.0,0.04898952132540689,0.04243660924372465,0.024476670435088187,0.2731148009672604,0.23390946510998842,0.19039268745285864
gbm_outcome,high,woba,493,111557.0,110811.0,0.03926607970478663,0.03343467488451469,0.02058998617652423,0.44232096191752174,0.4695665823355332,0.573342883044373
gbm_outcome,all,woba,1157,182160.0,180968.0,0.045818260998618424,0.03919813585330008,0.023723810540546585,0.32597721143228925,0.4012342630050578,0.4423994011081701
gbm_full,low,woba,384,32750.0,32561.0,0.060882648339536875,0.05153512293418807,0.032416476875099104,0.11928399612261058,0.12361533312827964,0.2351138195046112
gbm_full,medium,woba,280,37853.0,37596.0,0.047889563291813084,0.04243660924372465,0.022193342879701435,0.2786053972824276,0.27952849879765074,0.3343971279162621
gbm_full,high,woba,493,111557.0,110811.0,0.038531929055476984,0.03343467488451469,0.01915286067675307,0.4685249862246428,0.4914093302471435,0.6308233851163358
gbm_full,all,woba,1157,182160.0,180968.0,0.04530465567118646,0.03919813585330008,0.02271602894678113,0.33999536277715214,0.4206336570713547,0.4887666650329291
min_pa_sweep_embedding_sgd_sgd_lr1_final,low,woba,384,32750.0,32561.0,0.062312439931696426,0.05153512293418807,0.03502814974273403,0.07469307746252896,0.14972562910698287,0.10690103825545838
min_pa_sweep_embedding_sgd_sgd_lr1_final,medium,woba,280,37853.0,37596.0,0.0456441758921457,0.04243660924372465,0.01680847966856486,0.33218654361114,0.42006508526996644,0.6182081901027766
min_pa_sweep_embedding_sgd_sgd_lr1_final,high,woba,493,111557.0,110811.0,0.03961092146072891,0.03343467488451469,0.021240235741037256,0.4648677816076598,0.5043708234609047,0.5459689549005444
min_pa_sweep_embedding_sgd_sgd_lr1_final,all,woba,1157,182160.0,180968.0,0.04574059150478576,0.03919813585330008,0.023573456616158568,0.35384269254535106,0.468272478929551,0.44944479296924933
