batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
608324,0.027041508955192306,0.02039352926556337,131.0,361.0,1435.0,R,192.239837398374,high,0.014857842364673413
608348,0.026331961259079883,0.02157555520683191,126.0,295.0,532.0,R,176.57957244655583,high,0.014857842364673413
608369,-0.07618942461625389,-0.04201870820193282,148.0,287.0,1412.0,L,195.2919540229885,high,-0.026253501145267144
608701,0.13396155032384088,0.024829999597851204,137.0,71.0,644.0,R,93.52884615384616,high,0.014857842364673413
609280,0.0920122720897616,0.019446689503940406,92.0,248.0,427.0,R,134.21176470588236,medium,0.014857842364673413
620443,0.0031620322245322074,0.019752983422606007,74.0,208.0,366.0,R,109.16312056737588,medium,0.014857842364673413
621020,0.05603587605666316,0.02166556613713022,137.0,506.0,991.0,R,215.62052877138413,high,0.014857842364673413
621028,-0.01974151074151076,0.020810272752964987,37.0,78.0,702.0,R,50.19130434782609,high,0.014857842364673413
621035,-0.14467041198501873,0.022681441639059496,36.0,89.0,1199.0,R,51.264,high,0.014857842364673413
621043,0.03059060489060489,0.0263021927924047,140.0,444.0,1276.0,R,212.87671232876713,high,0.014857842364673413
621438,-0.01733644067796608,0.0216485857260999,100.0,236.0,432.0,R,140.47619047619045,medium,0.014857842364673413
621439,0.07776570743405276,0.018665158032454165,120.0,417.0,806.0,R,186.36871508379886,high,0.014857842364673413
621493,0.055962355933550534,0.0262360629519392,115.0,547.0,588.0,R,190.0453172205438,high,0.014857842364673413
621566,-0.039435824044768586,-0.0422056968068934,215.0,507.0,1334.0,L,301.95290858725764,high,-0.026253501145267144
622569,-0.08508888888888891,0.01948307910464847,18.0,15.0,212.0,R,16.363636363636363,medium,0.014857842364673413
622761,-0.008365384615384608,0.018964350776331684,39.0,44.0,477.0,R,41.34939759036145,high,0.014857842364673413
623168,0.1271260204081633,-0.003531852457800466,49.0,120.0,91.0,L,69.58579881656804,low,-0.026253501145267144
623993,-0.054969696969696974,-0.00901291920047298,55.0,165.0,896.0,L,82.5,high,-0.026253501145267144
