model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted
gbm_outcome,all,xwoba,1157,182160.0,180536.0,0.038919674125859095,,,0.41641953529394293,0.47783588255559545
gbm_full,low,woba,384,32750.0,32561.0,0.060882648339536875,0.05153512293418807,0.032416476875099104,0.11928399612261058,0.12361533312827964
gbm_full,medium,woba,280,37853.0,37596.0,0.047889563291813084,0.04243660924372465,0.022193342879701435,0.2786053972824276,0.27952849879765074
gbm_full,high,woba,493,111557.0,110811.0,0.038531929055476984,0.03343467488451469,0.01915286067675307,0.4685249862246428,0.4914093302471435
gbm_full,all,woba,1157,182160.0,180968.0,0.04530465567118646,0.03919813585330008,0.02271602894678113,0.33999536277715214,0.4206336570713547
gbm_full,low,xwoba,384,32750.0,32488.0,0.04861356911722348,,,0.13704690576756925,0.16918450098205384
gbm_full,medium,xwoba,280,37853.0,37481.0,0.040433821430438804,,,0.38820374895452386,0.3539026325541313
gbm_full,high,xwoba,493,111557.0,110567.0,0.03266167431186434,,,0.5609912328438966,0.5725444007101893
gbm_full,all,xwoba,1157,182160.0,180536.0,0.037656843533076675,,,0.4400140540593133,0.5163975042910138
min_pa_sweep_embedding_sgd_sgd_lr1_final,low,woba,384,32750.0,32561.0,0.062312439931696426,0.05153512293418807,0.03502814974273403,0.07469307746252896,0.14972562910698287
min_pa_sweep_embedding_sgd_sgd_lr1_final,medium,woba,280,37853.0,37596.0,0.0456441758921457,0.04243660924372465,0.01680847966856486,0.33218654361114,0.42006508526996644
min_pa_sweep_embedding_sgd_sgd_lr1_final,high,woba,493,111557.0,110811.0,0.03961092146072891,0.03343467488451469,0.021240235741037256,0.4648677816076598,0.5043708234609047
min_pa_sweep_embedding_sgd_sgd_lr1_final,all,woba,1157,182160.0,180968.0,0.04574059150478576,0.03919813585330008,0.023573456616158568,0.35384269254535106,0.468272478929551
min_pa_sweep_embedding_sgd_sgd_lr1_final,low,xwoba,384,32750.0,32488.0,0.05003737814393307,,,0.15775183442269103,0.23905773882069525
min_pa_sweep_embedding_sgd_sgd_lr1_final,medium,xwoba,280,37853.0,37481.0,0.036483056213253394,,,0.48137494465126196,0.5544639519452619
min_pa_sweep_embedding_sgd_sgd_lr1_final,high,xwoba,493,111557.0,110567.0,0.032637955093128765,,,0.5724635866884081,0.6157597589758078
min_pa_sweep_embedding_sgd_sgd_lr1_final,all,xwoba,1157,182160.0,180536.0,0.0371386188033862,,,0.46920827429555056,0.5834391864173357
