batter,stand,stratum,centered_obs,centered_pred,agree
663609,R,low,0.23394985816894048,0.0007162878726746057,True
663611,R,medium,0.017701025758817688,-0.005327812291040795,False
663616,L,medium,-0.05145354061734964,-0.0205124797556472,True
663624,R,high,0.03360307532215759,-0.002503026205179896,False
663647,R,high,0.1309151187957548,0.004149050811655303,True
663656,L,high,-0.05046224618098124,-0.0003379272608699038,True
663662,R,low,0.1535839439883751,0.0029185871630329034,True
663697,R,medium,0.019917057149042388,0.0011536029595336054,True
663698,R,medium,0.09076109466767698,0.003434355543727504,True
663728,L,medium,-0.005244299266532547,0.015888645189927296,False
663743,R,medium,-0.04253695513151151,0.001127419822680404,False
663757,L,high,0.0032430436511378564,-0.007324303262499204,False
663837,R,medium,-0.02423262527342481,0.002195789697364406,False
663853,R,low,0.1437751962245111,-0.00019066942273019555,False
663886,R,medium,-0.01615383308383811,0.0010696010985607046,False
663897,R,medium,-0.2008383418133384,0.0025014468392452055,False
663898,R,medium,0.041152472625361994,0.0029777512956966033,True
663993,L,high,0.05680521413647896,-0.010617241531374406,False
664023,L,high,-0.0013923170762695433,0.014242784155321896,False
664034,R,high,-0.011549676325643708,-0.00011867401251619558,True
664040,L,high,0.05852223692850186,-0.018924411489457105,False
664056,R,high,-0.0513384808051842,0.003369095694381905,False
664238,R,high,0.028465649414731693,0.005595586070459405,True
664314,L,low,0.15331156334282825,-0.007775025536532403,False
664728,L,medium,-0.06204077599831704,-0.010724397582097107,True
664761,R,high,-0.0010925027190448085,0.0020224918517493043,False
664770,L,low,-0.08482034141907643,-0.008194609368860007,True
664774,L,medium,0.07388255349526315,-0.004694880016149806,False
664874,R,medium,0.11797289300447529,-0.007394527896732395,False
664901,R,medium,0.12384221118629347,-0.002107235049462395,False
664913,L,medium,0.031438291453427455,-0.012395923775061702,False
664983,L,medium,0.005562577783692454,-0.005360302314374402,False
665019,L,low,0.07884799912926405,-0.007215708126469208,False
665052,L,low,0.03896842608792615,-0.006869933338285204,False
665161,R,medium,0.04008992900901129,-0.0014179938428422953,False
665487,R,medium,-0.07875389154572021,-0.009148204559718796,True
665489,R,high,-0.012999319479454409,0.00044916462685510444,False
665506,R,medium,0.06794257732958409,0.0022042285237735063,True
665561,L,low,0.026748933943242355,0.029486859981326295,True
665742,L,high,0.022875950281802355,-0.013445038271750604,False
665750,L,medium,-0.020622970527057645,0.027495082957906994,False
665782,R,low,0.1958539127200538,0.0010476391090809035,True
665804,R,low,-0.12341293726936982,0.001007938280238603,False
665828,L,low,-0.07259484057753604,0.025072202565170995,False
665833,L,medium,-0.017151207219942247,-0.038986007297176994,True
665839,L,low,-0.12035223854156174,-0.008481017757849301,True
665862,L,medium,0.008935126561219156,-0.008067664228179807,False
665877,R,low,-0.2094497817306994,-0.0012579070689887964,True
665923,R,medium,0.2095845383036206,-0.004370177075361394,False
665926,L,medium,-0.002774145975248346,-0.0033817520875618033,True
665953,R,low,0.1532948831312068,0.0010476391090809035,True
666018,L,low,-0.04582824181522815,-0.009302689391658608,True
666023,R,low,0.021556015268390193,-0.0017783868355717956,False
666134,L,medium,-0.017563377722706844,-0.0208060222240788,True
666139,L,medium,-0.026258299377034347,-0.017478206828846505,True
