batter,embedding_index,name,stand
500135,352,Ronny Rodríguez,R
500207,353,Jhonatan Solano,R
500208,354,Yangervis Solarte,L
500743,355,Miguel Rojas,R
500779,356,Jose Quintana,R
500871,357,Eduardo Escobar,L
500874,358,José Martínez,R
500887,359,Josmil Pinto,R
501213,360,Moisés Sierra,R
501245,361,Alfredo Marte,R
501255,362,Rafael Ynoa,L
501303,363,Ehire Adrianza,L
501571,364,Juan Lagares,R
501647,365,Wilin Rosario,R
501659,366,Abraham Almonte,L
501800,367,Allen Craig,R
501888,368,Ryan Kalish,L
501896,369,David Freese,R
501936,370,Matt Buschmann,R
501981,371,Khris Davis,R
501983,372,Travis Snider,L
501986,373,Cedric Hunter,L
502023,374,Travis Tartamella,R
502029,375,Chris Marrero,R
502034,376,Emmanuel Burriss,L
502046,377,Jeff Locke,L
502054,378,Tommy Pham,R
502082,379,Lonnie Chisenhall,L
502100,380,Alex Presley,L
502110,381,J. D. Martinez,R
502117,382,Kristopher Negrón,R
502126,383,Domonic Brown,L
502143,384,Danny Valencia,R
502151,385,Chad Huffman,R
502182,386,Steve Clevenger,L
502188,387,Jeff Samardzija,R
502190,388,Mike Leake,R
502205,389,Grant Green,R
502210,390,Josh Reddick,L
502213,391,Nevin Ashley,R
502226,392,Craig Gentry,R
502261,393,Cole Gillespie,R
502273,394,Mike Freeman,L
502285,395,Tyler Ladendorf,R
502317,396,Chris Heisey,R
502374,397,Michael Mckenry,R
502409,398,Jonathan Diaz,R
502457,399,Drew Hayes,R
502481,400,Jarrod Dyson,L
502517,401,Daniel Murphy,L
502523,402,Shawn O'Malley,L
502544,403,Nick Buss,L
502570,404,Rocky Gale,R
502582,405,Logan Schafer,L
502624,406,Chase Anderson,R
502671,407,Paul Goldschmidt,R
502676,408,Cole Figueroa,L
502706,409,Derek Holland,L
503351,410,Blake Lalli,L
503437,411,James Beresford,L
503556,412,Marwin González,L
506433,413,Yu Darvish,R
506560,414,Alexi Amarista,L
506702,415,Sandy León,L
506703,416,Adrián Sánchez,R
506747,417,Francisco Peña,R
506924,418,Stephen Cardullo,R
506997,419,Tony Sanchez,R
514888,420,José Altuve,R
514913,421,Rubén Tejada,R
514917,422,César Hernández,L
516416,423,Jean Segura,R
516472,424,Francisco Arcia,L
516770,425,Starlin Castro,R
516782,426,Starling Marte,R
516809,427,Junior Lake,R
516811,428,Eury Pérez,R
516910,429,Carlos Frías,R
516949,430,Héctor Sánchez,L
517369,431,José Pirela,R
517370,432,Jimmy Paredes,L
518170,433,Jordany Valdespin,L
518418,434,Phillippe Aumont,L
518452,435,Chad Bettis,R
518466,436,Jabari Blash,R
518468,437,Michael Blazek,R
518490,438,Bryce Brentz,R
518516,439,Madison Bumgarner,R
518542,440,Juan Centeno,L
518568,441,Christian Colón,R
518577,442,Collin Cowgill,R
518586,443,Charlie Culberson,R
518595,444,Travis D'Arnaud,R
518614,445,Daniel Descalso,L
518618,446,Derek Dietrich,L
518625,447,Matt Dominguez,R
518626,448,Josh Donaldson,R
518649,449,Brett Eibner,R
518653,450,Jake Elmore,R
518692,451,Freddie Freeman,L
518700,452,Eric Fryer,R
518735,453,Yasmani Grandal,L
518755,454,Matt Hague,R
518764,455,Donovan Hand,R
518774,456,Matt Harvey,R
518790,457,Chris Heston,R
518792,458,Jason Heyward,L
518876,459,Merrill Kelly,R
518902,460,Pete Kozma,R
518911,461,Andrew Lambo,L
518934,462,Dj Lemahieu,R
518953,463,David Lough,L
518960,464,Jonathan Lucroy,R
518991,465,Darin Mastroianni,R
519023,466,Devin Mesoraco,R
519025,467,Will Middlebrooks,R
519037,468,Carlos Moncrief,L
519043,469,Matt Moore,L
519048,470,Mitch Moreland,L
519058,471,Mike Moustakas,L
519068,472,Efren Navarro,L
519071,473,Rey Navarro,L
519076,474,Jimmy Nelson,R
519082,475,Nick Noonan,L
519083,476,Derek Norris,R
519107,477,Andy Parrino,L
519184,478,Ben Revere,L
519203,479,Anthony Rizzo,L
519208,480,Clint Robinson,L
519222,481,Austin Romine,R
519237,482,Cameron Rupp,R
519295,483,Jake Smolinski,R
519299,484,Eric Sogard,L
519303,485,Elliot Soto,R
519306,486,Steven Souza,R
519317,487,Giancarlo Stanton,R
519333,488,Matt Szczur,R
519344,489,Nick Tepesch,R
519345,490,Joey Terdoslavich,L
519346,491,Eric Thames,L
519390,492,Stephen Vogt,L
519421,493,Andy Wilkins,L
519425,494,Jackson Williams,R
519445,495,Danny Worth,R
519455,496,Jordan Zimmermann,R
520471,497,Freddy Galvis,L
521692,498,Salvador Pérez,R
523253,499,Logan Forsythe,R
523989,500,Rubby De La Rosa,R
524968,501,Jesús Montero,R
527038,502,Wilmer Flores,R
527043,503,Jefry Marte,R
527049,504,César Puello,R
527054,505,Julio Teherán,R
534606,506,Ryan Lamarre,R
534627,507,Tyler Holt,R
537953,508,Daniel Nava,L
541600,509,Wilfredo Tovar,R
541608,510,Ramón Cabrera,L
541645,511,Avisaíl García,R
541650,512,Hernán Pérez,R
542194,513,Christian Bethancourt,R
542208,514,Carlos Pérez,R
542255,515,Ender Inciarte,L
542289,516,Daniel Corcino,R
542303,517,Marcell Ozuna,R
542340,518,Jonathan Villar,L
542364,519,Rafael Ortega,L
542436,520,Cristhian Adames,L
542454,521,Danny Santana,L
542455,522,Oswaldo Arcia,L
542513,523,Tomás Telis,L
542583,524,Jesús Aguilar,R
542642,525,Rymer Liriano,R
542881,526,Tyler Anderson,L
542883,527,Dean Anna,L
542908,528,Jett Bandy,R
542921,529,Tim Beckham,R
542923,530,Dallas Beeler,R
542932,531,Jon Berti,R
542942,532,Carson Blair,R
542963,533,Rob Brantly,L
542979,534,Keon Broxton,R
542992,535,Andy Burns,R
542993,536,Billy Burns,L
542994,537,Joey Butler,R
543022,538,Tyler Chatwood,R
543037,539,Gerrit Cole,R
543038,540,Dusty Coleman,R
543063,541,Brandon Crawford,L
543068,542,C. J. Cron,R
543089,543,Taylor Davis,R
543094,544,Jaff Decker,L
543101,545,Anthony Desclafani,R
543105,546,Alex Dickerson,L
543148,547,Tim Federowicz,R
543194,548,Isaac Galloway,R
543213,549,Johnny Giavotella,R
543216,550,Conor Gillaspie,L
543219,551,Sean Gilmartin,L
543228,552,Yan Gomes,R
543238,553,Anthony Gose,L
543243,554,Sonny Gray,R
543257,555,Robbie Grossman,L
543281,556,Josh Harrison,R
543294,557,Kyle Hendricks,R
543302,558,Chris Herrmann,L
543305,559,Aaron Hicks,L
543308,560,John Hicks,R
543309,561,Kyle Higashioka,R
543321,562,L. J. Hoes,R
543329,563,Destin Hood,R
543333,564,Eric Hosmer,L
543362,565,A. J. Jiménez,R
543376,566,Caleb Joseph,R
543377,567,Corban Joseph,L
543401,568,Jason Kipnis,L
543408,569,Tom Koehler,R
543432,570,Ryan Lavarnway,R
543434,571,Brett Lawrie,R
543459,572,Steve Lombardozzi,L
543482,573,Drew Maggi,R
543484,574,Mikie Mahtook,R
543510,575,James Mccann,R
543543,576,Brad Miller,L
543569,577,Brent Morel,R
543590,578,Kirk Nieuwenhuis,L
543592,579,Austin Nola,R
543611,580,Danny Ortiz,L
543633,581,Juan Pérez,R
543685,582,Anthony Rendon,R
543698,583,Donn Roach,R
543699,584,Tanner Roark,R
543706,585,Dan Robertson,R
543734,586,Chris Rusin,L
543742,587,Jerry Sands,R
543760,588,Marcus Semien,R
543768,589,Travis Shaw,L
543776,590,Jb Shuck,L
543807,591,George Springer,R
543829,592,Dee Strange-Gordon,L
543877,593,Christian Vázquez,R
543901,594,Ryan Weber,R
543921,595,Joe Wieland,R
543939,596,Kolten Wong,L
543942,597,Rob Wooten,R
544369,598,Didi Gregorius,L
544725,599,Leury García,L
544925,600,Matt Den Dekker,L
544931,601,Stephen Strasburg,R
545121,602,Ildemaro Vargas,L
545337,603,Nolan Fontana,L
545338,604,Nick Franklin,L
545341,605,Randal Grichuk,R
545346,606,Zach Lee,R
545350,607,Jake Marisnick,R
545358,608,Max Stassi,R
545361,609,Mike Trout,R
545404,610,Brandon Beachy,R
546318,611,Odúbel Herrera,L
546990,612,Anthony Alford,R
546991,613,Albert Almora,R
547004,614,Rio Ruiz,L
547170,615,Nick Delmonico,L
547172,616,Tony Wolters,L
547173,617,Christian Lopes,R
547176,618,Dan Camarena,L
547179,619,Michael Lorenzen,R
547180,620,Bryce Harper,L
547379,621,Roberto Pérez,R
547912,622,Gift Ngoepe,R
547943,623,Hyun Jin Ryu,R
547957,624,Hyun Soo Kim,L
547982,625,Leonys Martín,L
547989,626,José Abreu,R
552662,627,Stefen Romero,R
553869,628,Elías Díaz,R
553882,629,Omar Narváez,L
553883,630,Jose Campos,R
553902,631,Willians Astudillo,R
553988,632,Dixon Machado,R
553993,633,Eugenio Suárez,R
554054,634,Alfredo González,R
554429,635,Dustin Ackley,L
554430,636,Zack Wheeler,L
570256,637,Gregory Polanco,L
570267,638,Domingo Santana,R
570481,639,Erik González,R
570482,640,Gio Urshela,R
570489,641,Arismendy Alcántara,L
570560,642,Yolmer Sánchez,L
570615,643,Steven Moya,L
570632,644,José Ureña,R
570639,645,Yefri Pérez,L
570717,646,Ramón Flores,L
570731,647,Jonathan Schoop,R
570799,648,Christian Villanueva,R
571431,649,Matt Adams,L
571437,650,Aaron Altherr,R
571448,651,Nolan Arenado,R
571466,652,Tucker Barnhart,L
571467,653,Steven Baron,R
571473,654,Buddy Baumann,L
571506,655,Justin Bour,L
571539,656,Matt Carasiti,R
571553,657,Darrell Ceciliani,L
571578,658,Patrick Corbin,L
571595,659,Noel Cuevas,R
571602,660,Matt Davidson,R
571657,661,Kyle Farmer,R
571665,662,Daniel Fields,L
571670,663,Dylan Floro,L
571679,664,David Freitas,R
571681,665,Rey Fuentes,L
571697,666,Scooter Gennett,L
571718,667,Brian Goodwin,L
571740,668,Billy Hamilton,L
571745,669,Mitch Haniger,R
