head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
spray,overall,all,bin_21,121468,0.042463858794085686,0.03995157554679343,-0.0025122832472922532,-0.05916285798412086
spray,overall,all,bin_22,121468,0.04407745249777719,0.0406440755920676,-0.0034333769057095925,-0.07789417743420486
spray,overall,all,bin_23,121468,0.04959330852570224,0.04432904168057746,-0.005264266845124779,-0.10614873259356188
spray,overall,all,expected_bin_index,121468,11.679635788849739,11.336628883432208,-0.3430069054175302,-0.029367945338243377
spray,count,0-0,bin_0,19931,0.05017309718528925,0.05000819646802738,-0.0001649007172618705,-0.003286636195746341
spray,count,0-0,bin_1,19931,0.03858311173548743,0.04254951866818455,0.00396640693269712,0.10280163403847373
spray,count,0-0,bin_2,19931,0.03773016908333751,0.04146165738560199,0.0037314883022644754,0.0988993262665336
spray,count,0-0,bin_3,19931,0.03702774572274346,0.040519891349515995,0.0034921456267725318,0.09431159144607498
spray,count,0-0,bin_4,19931,0.03803120766644925,0.04123922217459316,0.003208014508143911,0.08435215984408483
spray,count,0-0,bin_5,19931,0.04053986252571371,0.04272616883001344,0.0021863063042997302,0.05392979078093803
spray,count,0-0,bin_6,19931,0.04229592092719884,0.04295517439973328,0.0006592534725344407,0.015586691531534918
spray,count,0-0,bin_7,19931,0.040439516331343135,0.0433631006838729,0.0029235843525297622,0.07229523539735817
spray,count,0-0,bin_8,19931,0.04269730570468115,0.043419884906820264,0.000722579202139112,0.016923297388759858
spray,count,0-0,bin_9,19931,0.0387336310270433,0.041596701356534586,0.0028630703294912838,0.07391691028120566
spray,count,0-0,bin_10,19931,0.038934323415784455,0.04158700992245951,0.0026526865066750574,0.06813233861409868
spray,count,0-0,bin_11,19931,0.041141939691937184,0.043389939798996024,0.002248000107058841,0.0546401099192558
spray,count,0-0,bin_12,19931,0.04209522853845768,0.04381949981379773,0.0017242712753400488,0.040961204754234225
spray,count,0-0,bin_13,19931,0.043500075259645776,0.042198087572052886,-0.0013019876875928899,-0.029930699655610023
spray,count,0-0,bin_14,19931,0.04254678641312528,0.04063708550723473,-0.0019097009058905504,-0.04488472730578368
spray,count,0-0,bin_15,19931,0.03752947669459636,0.04052588816589451,0.0029964114712981507,0.07984154683749123
spray,count,0-0,bin_16,19931,0.04234609402438413,0.039185490074475644,-0.003160603949908483,-0.07463743758960424
spray,count,0-0,bin_17,19931,0.040590035622899,0.039191561578036306,-0.0013984740448626937,-0.03445362940439845
spray,count,0-0,bin_18,19931,0.04064020872008429,0.039599245539283144,-0.0010409631808011438,-0.02561411994635506
spray,count,0-0,bin_19,19931,0.04360042145401636,0.038930924607044864,-0.004669496846971495,-0.10709751629112642
spray,count,0-0,bin_20,19931,0.04465405649490743,0.03909761865534708,-0.005556437839560349,-0.12443299166323293
spray,count,0-0,bin_21,19931,0.04194470924690181,0.039040610388708326,-0.0029040988581934823,-0.06923635686920371
spray,count,0-0,bin_22,19931,0.045908383924539664,0.040107765223104205,-0.005800618701435459,-0.12635205610744277
spray,count,0-0,bin_23,19931,0.048316692589433545,0.042849756919753984,-0.005466935669679561,-0.11314796971171685
spray,count,0-1,bin_0,15624,0.051267281105990783,0.05136015843118538,9.287732519459857e-05,0.0018116296240204845
spray,count,0-1,bin_1,15624,0.04262672811059908,0.04421027309697944,0.0015835449863803586,0.0371491094102203
spray,count,0-1,bin_2,15624,0.04045058883768561,0.042248719367600704,0.001798130529915093,0.044452518037014895
spray,count,0-1,bin_3,15624,0.03795442908346134,0.04202377229829115,0.00406934321482981,0.10721655714755642
spray,count,0-1,bin_4,15624,0.038146441372247826,0.04180967565168001,0.003663234279432187,0.09603082614404108
