head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
spray,count,2-0,bin_9,3576,0.04194630872483222,0.04040431830480172,-0.0015419904200304965,-0.03676105161352704
spray,count,2-0,bin_10,3576,0.03691275167785235,0.04068411227376346,0.0037713605959111066,0.10216958705286451
spray,count,2-0,bin_11,3576,0.045022371364653244,0.04313330873284464,-0.0018890626318086023,-0.04195831038104076
spray,count,2-0,bin_12,3576,0.04809843400447427,0.04359408301745085,-0.004504350987023419,-0.09364859959067294
spray,count,2-0,bin_13,3576,0.04082774049217002,0.04219992780857157,0.0013721873164015477,0.0336091907085749
spray,count,2-0,bin_14,3576,0.04138702460850112,0.040968443891412465,-0.0004185807170886541,-0.010113815164250183
spray,count,2-0,bin_15,3576,0.041666666666666664,0.041819588333529514,0.00015292166686284997,0.0036701200047083993
spray,count,2-0,bin_16,3576,0.04138702460850112,0.0409329617651795,-0.000454062843321619,-0.010971140052149388
spray,count,2-0,bin_17,3576,0.03887024608501118,0.041815021498929385,0.002944775413918202,0.07575911424583806
spray,count,2-0,bin_18,3576,0.04194630872483222,0.041961203684851095,1.48949600188783e-05,0.00035509584685005865
spray,count,2-0,bin_19,3576,0.0447427293064877,0.04244035136695065,-0.0023023779395370467,-0.05145814694865299
spray,count,2-0,bin_20,3576,0.0447427293064877,0.04294525312545407,-0.0017974761810336248,-0.040173592646101514
spray,count,2-0,bin_21,3576,0.05229306487695749,0.04424951487106236,-0.008043550005895135,-0.15381676374909628
spray,count,2-0,bin_22,3576,0.05201342281879195,0.045824485324886845,-0.006188937493905103,-0.11898731439894972
spray,count,2-0,bin_23,3576,0.05005592841163311,0.04967254887282622,-0.00038337953880689113,-0.007659023635605825
spray,count,2-1,bin_0,7801,0.04819894885271119,0.05004581638705845,0.001846867534347256,0.03831758945596528
spray,count,2-1,bin_1,7801,0.03704653249583387,0.041164945055644095,0.004118412559810228,0.11116863798989476
spray,count,2-1,bin_2,7801,0.03858479682092039,0.039536033330546616,0.0009512365096262243,0.024653142895661714
spray,count,2-1,bin_3,7801,0.03935392898346366,0.03927411770425159,-7.981127921206921e-05,-0.0020280384010858367
spray,count,2-1,bin_4,7801,0.03473913600820407,0.03909792602986788,0.004358790021663804,0.12547203305903815
spray,count,2-1,bin_5,7801,0.03973849506473529,0.04088723515321775,0.0011487400884824597,0.0289074884846828
spray,count,2-1,bin_6,7801,0.03832841943340597,0.04148900131229968,0.0031605818788937035,0.08246053256605278
spray,count,2-1,bin_7,7801,0.04460966542750929,0.04162797847082478,-0.0029816869566845136,-0.06683948261234451
spray,count,2-1,bin_8,7801,0.03858479682092039,0.04210567870090774,0.0035208818799873504,0.09125049682983828
