batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
664238,True,True,True,175.0,264.0,R,high,439,True
664314,True,True,True,14.0,96.0,L,low,110,True
664728,True,True,True,67.0,351.0,L,medium,418,True
664761,True,True,True,178.0,426.0,R,high,604,True
664770,True,True,True,14.0,75.0,L,low,89,True
664774,True,True,True,42.0,353.0,L,medium,395,True
664874,True,True,True,16.0,26.0,R,medium,42,True
664901,True,True,True,52.0,88.0,R,medium,140,True
664913,True,True,True,28.0,372.0,L,medium,400,True
664954,False,True,False,,,,,17,True
664983,True,True,True,147.0,342.0,L,medium,489,True
665019,True,True,True,21.0,99.0,L,low,120,True
665052,True,True,True,21.0,68.0,L,low,89,True
665120,False,True,False,,,,,60,True
665161,True,True,True,165.0,481.0,R,medium,646,True
665487,True,True,True,118.0,320.0,R,medium,438,True
665489,True,True,True,134.0,551.0,R,high,685,True
665506,True,True,True,130.0,53.0,R,medium,183,True
665561,True,True,True,23.0,32.0,L,low,55,True
665742,True,True,True,226.0,485.0,L,high,711,True
665750,True,True,True,100.0,426.0,L,medium,526,True
665782,True,True,True,14.0,17.0,R,low,31,True
665804,True,True,True,92.0,266.0,R,low,358,True
665828,True,True,True,83.0,241.0,L,low,324,True
665833,True,True,True,154.0,440.0,L,medium,594,True
665839,True,True,True,35.0,187.0,L,low,222,True
665862,True,True,True,210.0,406.0,L,medium,616,True
665877,True,True,True,42.0,37.0,R,low,79,True
665923,True,True,True,36.0,27.0,R,medium,63,True
665926,True,True,True,172.0,457.0,L,medium,629,True
665953,True,True,True,45.0,87.0,R,low,132,True
665966,False,True,False,,,,,15,True
666018,True,True,True,19.0,124.0,L,low,143,True
666023,True,True,True,120.0,246.0,R,low,366,True
666134,True,True,True,92.0,202.0,L,medium,294,True
666135,False,True,False,,,,,178,True
666139,True,True,True,50.0,333.0,L,medium,383,True
666149,True,True,True,116.0,225.0,R,low,341,True
666150,True,True,True,58.0,179.0,L,low,237,True
666152,True,True,True,50.0,267.0,L,low,317,True
666158,True,True,True,50.0,437.0,L,medium,487,True
666160,True,True,True,35.0,383.0,L,low,418,True
666163,True,True,True,41.0,287.0,L,low,328,True
666165,False,True,False,,,,,37,True
666176,True,True,True,104.0,345.0,R,medium,449,True
666181,True,True,True,70.0,317.0,L,low,387,True
666182,True,True,True,62.0,273.0,R,high,335,True
666185,True,True,True,116.0,149.0,L,medium,265,True
666197,False,True,False,,,,,25,True
666310,True,True,True,76.0,310.0,L,low,386,True
666397,True,True,True,33.0,268.0,L,low,301,True
666464,True,True,True,44.0,75.0,R,low,119,True
666624,True,True,True,125.0,483.0,R,medium,608,True
666703,True,True,True,36.0,20.0,R,low,56,True
666915,True,True,True,39.0,53.0,R,medium,92,True
666969,True,True,True,160.0,475.0,R,high,635,True
666971,True,True,True,172.0,380.0,R,high,552,True
667452,True,True,True,91.0,98.0,R,low,189,True
667472,True,True,True,66.0,42.0,R,low,108,True
667670,True,True,True,135.0,475.0,R,medium,610,True
668227,True,True,True,181.0,467.0,R,high,648,True
668670,True,True,True,93.0,243.0,R,medium,336,True
668709,True,True,True,124.0,515.0,L,medium,639,True
668715,True,True,True,171.0,484.0,R,medium,655,True
668723,True,True,True,22.0,26.0,R,low,48,True
668731,False,True,False,,,,,82,True
668800,True,True,True,27.0,66.0,R,medium,93,True
668804,True,True,True,202.0,487.0,L,high,689,True
668832,True,True,True,10.0,146.0,L,low,156,True
668845,True,True,True,33.0,64.0,R,low,97,True
668853,False,True,False,,,,,50,True
668885,True,True,True,79.0,176.0,R,low,255,True
668901,True,True,True,139.0,315.0,R,low,454,True
668904,True,True,True,100.0,223.0,R,low,323,True
668930,True,True,True,128.0,485.0,L,low,613,True
668939,True,True,True,181.0,454.0,L,medium,635,True
668942,True,True,True,67.0,405.0,L,medium,472,True
668952,True,True,True,19.0,46.0,R,low,65,True
669003,True,True,True,35.0,187.0,L,low,222,True
669004,True,True,True,74.0,375.0,L,medium,449,True
669016,True,True,True,89.0,386.0,L,medium,475,True
669065,True,True,True,43.0,166.0,L,low,209,True
669127,True,True,True,142.0,390.0,R,medium,532,True
669134,True,True,True,75.0,224.0,R,low,299,True
669137,True,True,True,16.0,23.0,R,low,39,True
669200,True,True,True,11.0,43.0,R,low,54,True
669208,True,True,True,34.0,35.0,R,low,69,True
669221,True,True,True,69.0,194.0,R,high,263,True
