batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
683011,0.04304780909620021,0.015697399697306103,171.0,422.0,322.0,R,243.37942664418213,medium,0.014857842364673413
683083,0.11876071428571428,-0.0027964954867520375,35.0,56.0,30.0,L,43.07692307692307,low,-0.026253501145267144
683090,0.13535849056603777,0.016065098643249787,17.0,53.0,0.0,R,25.742857142857144,low,0.014857842364673413
683146,-0.030646794072843153,-0.04578211652135866,83.0,348.0,140.0,L,134.03248259860788,medium,-0.026253501145267144
683227,-0.029645833333333288,0.016065098643249787,48.0,72.0,0.0,R,57.599999999999994,low,0.014857842364673413
683734,0.08853132194353569,0.02149943009843902,131.0,315.0,562.0,R,185.04484304932737,high,0.014857842364673413
683737,-0.10300393407761832,-0.03541417625215959,95.0,495.0,115.0,L,159.40677966101694,medium,-0.026253501145267144
683748,0.17182517482517484,-0.03549586127317533,11.0,26.0,0.0,L,15.45945945945946,low,-0.026253501145267144
683766,-0.004482269503546077,0.016065098643249787,47.0,141.0,0.0,R,70.5,low,0.014857842364673413
683770,0.03224615384615387,-0.03549586127317533,10.0,65.0,0.0,L,17.333333333333332,low,-0.026253501145267144
685301,-0.048711670480549196,0.016065098643249787,23.0,19.0,0.0,R,20.80952380952381,low,0.014857842364673413
686217,-0.027416034075573525,-0.02565647015383188,171.0,416.0,135.0,L,242.37137989778535,medium,-0.026253501145267144
686452,-0.1757173076923077,-0.008979463136220667,13.0,40.0,27.0,L,19.62264150943396,low,-0.026253501145267144
686469,-0.10024050301906523,-0.045486705302713926,164.0,513.0,259.0,L,248.54357459379617,medium,-0.026253501145267144
686475,-0.036838095238095225,0.016065098643249787,35.0,21.0,0.0,R,26.250000000000004,low,0.014857842364673413
686527,-0.05256021363769392,-0.05190566922383799,68.0,201.0,41.0,L,101.62081784386616,low,-0.026253501145267144
686555,-0.03607353183476519,-0.008245762071650398,145.0,293.0,7.0,L,193.99543378995432,low,-0.026253501145267144
686611,-0.06385091420534458,0.018036003627195596,79.0,243.0,42.0,R,119.23602484472049,low,0.014857842364673413
686668,0.10574679966749795,0.01169103899786822,135.0,401.0,295.0,R,201.9962686567164,medium,0.014857842364673413
686676,0.08013714285714285,0.011485280386195174,14.0,25.0,138.0,R,17.94871794871795,medium,0.014857842364673413
686681,-0.02705811403508776,-0.03859637874188393,48.0,228.0,191.0,L,79.30434782608697,medium,-0.026253501145267144
686765,0.1135813664596273,-0.0085670687492016,35.0,69.0,19.0,L,46.44230769230769,low,-0.026253501145267144
686780,0.007463369963369992,0.0165133979684447,112.0,273.0,82.0,R,158.83636363636364,low,0.014857842364673413
686797,0.014521538263417122,-0.0067417631714822845,178.0,349.0,52.0,L,235.75711574952564,low,-0.026253501145267144
686894,0.04604040404040405,0.017268789403597495,33.0,27.0,139.0,R,29.7,medium,0.014857842364673413
686948,0.0073690508322087345,-0.03549586127317533,95.0,351.0,0.0,L,149.5291479820628,low,-0.026253501145267144
