batter,stand,stratum,dim,gradient
669289,R,medium,7,-0.0026823865027636013
669394,R,medium,7,-0.00162176836441832
676113,L,low,7,0.0
677347,R,low,7,-0.0020896416527166513
680474,R,low,7,0.0
680718,L,low,7,0.0
680776,L,medium,7,-0.0007445996402726518
680869,R,low,7,-0.0020601783280527084
681146,R,low,7,-0.0016484266913409003
682177,L,low,7,0.0
682626,R,medium,7,-0.0016491448206313686
686527,L,low,7,-0.0016706411891211686
686894,R,medium,7,-0.0020755303638978276
691718,L,low,7,-0.0007072422699828196
700250,L,low,7,0.0
457705,R,high,8,-0.0021799181612683974
467793,L,high,8,-0.003489041105307455
502671,R,high,8,-0.0030144653299225745
545121,L,medium,8,-0.0034455920815854328
545361,R,high,8,-0.0017468282062901826
571745,R,high,8,-0.0024287509813777437
592325,L,high,8,-8.655860046119885e-05
592626,L,high,8,-0.003564251559138948
593871,L,high,8,-0.0019457046336658864
595978,R,high,8,-0.002603265970692068
605131,R,high,8,0.00033850808653420196
605170,L,medium,8,-0.0028187880121667125
605346,R,low,8,-0.0016246834834587574
608336,L,high,8,-0.0033944186241986595
624428,L,high,8,0.0011562588416757032
650859,L,high,8,-0.003506184327336809
656555,R,high,8,-0.0038853767349600614
656941,L,high,8,-0.003992386300338397
660707,R,medium,8,-0.0025976750661716686
662139,L,medium,8,-0.00403528513888558
664761,R,high,8,-0.001372881118650231
665742,L,high,8,-0.0019170659964532313
665926,L,medium,8,-0.0014918019829566413
667472,R,low,8,-0.0038562361896045676
668709,L,medium,8,-0.002566956210025721
669289,R,medium,8,-0.0035136790071778443
669394,R,medium,8,-0.002201215546972996
676113,L,low,8,0.0
677347,R,low,8,-0.0022748260506681517
680474,R,low,8,0.0
680718,L,low,8,0.0
680776,L,medium,8,-0.0017724303987949057
680869,R,low,8,-0.0035263012398542492
681146,R,low,8,-0.002096815103775804
682177,L,low,8,0.0
682626,R,medium,8,-0.005045555885315281
686527,L,low,8,-3.9469736341328803e-05
686894,R,medium,8,-0.004082606895369012
691718,L,low,8,0.0009244652789486105
700250,L,low,8,0.0
457705,R,high,9,8.709195472049144e-05
467793,L,high,9,-0.0006173393512791499
502671,R,high,9,-0.0007751846312711309
545121,L,medium,9,0.0011688156192516922
545361,R,high,9,-0.0023081797697318035
571745,R,high,9,-0.0004701215359447718
592325,L,high,9,-0.0014806919402154987
592626,L,high,9,-0.0012530028465311846
593871,L,high,9,0.0003250829196482713
595978,R,high,9,-0.0020249689392055287
605131,R,high,9,-0.0015582677291587927
605170,L,medium,9,0.0014350387665984568
605346,R,low,9,-0.003255714302428271
608336,L,high,9,-0.003971701289130517
624428,L,high,9,0.0008944806701276282
650859,L,high,9,0.0007978427076341838
656555,R,high,9,-0.0022757507580422848
656941,L,high,9,-0.003496024310913336
660707,R,medium,9,-0.001082866706595287
662139,L,medium,9,-0.0028196961669969796
664761,R,high,9,-0.002144463114566183
665742,L,high,9,-0.002496459728093708
665926,L,medium,9,-0.003387417400795549
667472,R,low,9,-0.0018353712902654954
668709,L,medium,9,-0.0007324531568790047
669289,R,medium,9,-0.0013324425254229127
669394,R,medium,9,-0.000519043963106617
676113,L,low,9,0.0
677347,R,low,9,-0.0016453394152600059
680474,R,low,9,0.0
680718,L,low,9,0.0
680776,L,medium,9,-0.002525274280146556
680869,R,low,9,-0.003276265235689219
681146,R,low,9,0.0002624731796952504
682177,L,low,9,0.0
682626,R,medium,9,-0.0033345671140630937
686527,L,low,9,-0.0018683733272500589
686894,R,medium,9,-0.002613706744028591
691718,L,low,9,0.00017493118238811323
700250,L,low,9,0.0
457705,R,high,10,0.0006647523436694772
467793,L,high,10,0.0037620991795128448
502671,R,high,10,-0.0006391122276928382
545121,L,medium,10,0.002652205972973811
545361,R,high,10,-0.001096425663421126
571745,R,high,10,0.000599457591240173
592325,L,high,10,-0.0009762603267784348
592626,L,high,10,-0.0024886585457537524
593871,L,high,10,0.0034166775867536495
595978,R,high,10,0.0003641348221932563
605131,R,high,10,0.0002288221110492193
605170,L,medium,10,0.002874976354744522
605346,R,low,10,0.000529731186703846
608336,L,high,10,-0.002595109874950117
624428,L,high,10,-0.0020832653964955473
650859,L,high,10,0.0029564371560913513
656555,R,high,10,0.0007167913831488179
656941,L,high,10,-0.003006627970646601
660707,R,medium,10,-0.0006090825614806827
662139,L,medium,10,-0.00029381950047739695
664761,R,high,10,-0.0014022686085382661
665742,L,high,10,-0.0010044394699114632
665926,L,medium,10,-0.0010704271102070669
667472,R,low,10,2.74415740975714e-05
668709,L,medium,10,-0.001461784130409805
669289,R,medium,10,0.00030764868983558394
