batter,name,stand,stratum,log_prior_pa,level_query,woba_level
646240,Rafael Devers,L,high,8.180320874773685,0.3512251547772052,0.3583477164471841
647304,Josh Naylor,L,medium,7.383989457978509,0.33733690295136953,0.3256003729024238
647351,Abraham Toro,L,medium,6.839476438228843,0.32116811604609385,0.2790450160771704
649557,Aledmys Díaz,R,high,7.820439515262181,0.3250582087594657,0.3171718875502008
649966,Luis Urías,R,medium,7.398174092970465,0.30606926721151007,0.3175814950980392
650333,Luis Arráez,L,high,7.682943169878292,0.34283325921374797,0.3497728110599078
650391,Eloy Jiménez,R,medium,7.4821189235521155,0.34196469141587915,0.343592676056338
650402,Gleyber Torres,R,high,8.00469951054955,0.33581613132105015,0.3377705410821643
650489,Willi Castro,L,medium,7.307872780763706,0.29152060745321323,0.3013849765258216
650490,Yandy Díaz,R,high,7.813995675002791,0.37575859343501616,0.3570561843168957
650559,Bryan De La Cruz,R,medium,7.088408778675395,0.33813011762624257,0.3156031746031746
650859,Luis Rengifo,L,high,7.409741954080923,0.3100959268796962,0.3033500908540278
650907,René Pinto,R,low,5.241747015059643,0.2910903153793125,0.2808085106382978
655316,Andruw Monasterio,R,low,5.755742213586912,0.3140540171660165,0.3023111111111111
656180,Riley Adams,R,medium,6.07073772800249,0.309687089164538,0.3067800925925926
656248,Sean Bouchard,R,low,4.948759890378168,0.30005866233060197,0.4217785714285714
656305,Matt Chapman,R,high,8.185071477532283,0.3493363482087313,0.3383806469604015
656413,Stuart Fairchild,R,medium,5.940171252720432,0.28976129185039157,0.3184353562005277
656448,Stone Garrett,R,medium,5.857933154483459,0.30843708413914817,0.3474154727793696
656484,Tristan Gray,L,low,1.791759469228055,0.28489322121606087,0.5774
656537,Derek Hill,R,low,5.71042701737487,0.2749631719342359,0.2628039867109634
656541,Sam Hilliard,L,medium,6.5722825426940075,0.2839602876967128,0.306750700280112
656555,Rhys Hoskins,R,high,7.96032362914884,0.3514091483709964,0.3605062849162011
656577,Alex Jackson,R,low,5.214935757608986,0.2616717489063529,0.2158907103825136
656582,Connor Joe,R,medium,7.062191632286556,0.31158616388513627,0.3278739279588336
656716,Zach Mckinstry,L,medium,6.776506992372183,0.3011675246968799,0.2860022831050228
656775,Cedric Mullins,L,high,7.695757990554761,0.31735020934215497,0.3247302092811647
656811,Ryan O'Hearn,L,medium,7.268223021159565,0.31847042278163895,0.3059016050244242
656883,Jakson Reetz,R,low,1.0986122886681098,0.2828815855462274,0.621
656896,Emmanuel Rivera,R,medium,6.608000625296087,0.3289202294880115,0.2999148648648648
656941,Kyle Schwarber,L,high,8.27664912542186,0.3449472378244042,0.3520921119592875
656976,Pavin Smith,L,medium,6.9957661563048505,0.3180878260491766,0.3069642529789184
657041,Lane Thomas,R,high,7.363913501405819,0.32019314332447824,0.3236512365250475
657061,Cole Tucker,L,medium,6.1675164908883415,0.2728627079746938,0.2542899159663865
657077,Alex Verdugo,L,high,7.843064016692054,0.33481273715451004,0.3292481350608559
657088,Forrest Wall,L,low,2.772588722239781,0.2803374965749301,0.5688666666666666
657136,Connor Wong,R,medium,6.152732694704104,0.29273748871117267,0.2914179104477612
657193,Eddy Alvarez,L,low,4.948759890378168,0.2755311867978094,0.2365857142857143
657557,Paul Dejong,R,high,7.939515260662406,0.30565382307803457,0.3070795008912655
657656,Ramón Laureano,R,high,7.622663951323595,0.3158055146478842,0.3234473813020068
657757,Gavin Sheets,L,low,6.837332814685591,0.309514979040396,0.2990859291084855
658668,Edward Olivares,R,medium,6.646390514847729,0.30432800921545905,0.3172223667100129
660162,Yoán Moncada,L,high,8.035278911144667,0.3205748752254939,0.3265976676384839
660271,Shohei Ohtani,L,high,7.939515260662406,0.36368792051949406,0.3830338680926916
660636,Diego Castillo,R,medium,5.648974238161206,0.29653408434060347,0.2714558303886926
660644,Vidal Bruján,L,low,5.605802066295998,0.2955421299808888,0.2012693726937269
660670,Ronald Acuña,R,high,8.0106915391303,0.379718459617086,0.388418326693227
660688,Keibert Ruiz,L,medium,7.001245622069476,0.3246571168676523,0.3074831358249771
660707,Elehuris Montero,R,medium,6.20050917404269,0.28070403084334183,0.3050630081300813
660766,Juan Yepez,R,low,5.8289456176102075,0.30282494189885495,0.3047286135693215
660821,Jesús Sánchez,L,medium,6.928537818164665,0.3138420426851688,0.3175764705882353
661388,William Contreras,R,medium,7.071573364211532,0.32664727457054643,0.353339847068819
661531,Brian Serven,R,low,5.424950017481403,0.259397965003058,0.2493451327433628
662139,Daulton Varsho,L,medium,7.374629015218945,0.31017148380768617,0.3091405269761605
663330,Jahmai Jones,R,low,4.51085950651685,0.29928875019925383,0.2093444444444444
