batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,pc1,pc2,pc3,pc4,pc5,tsne1,tsne2
429666,54,4601,0.3827428819821777,R,0.1561612720045428,0.8438387279954571,0.247906976744186,0.5010199918400653,88.31087962962964,103.07,10.54050925925926,,0.4476190476190476,0.2710843585237258,328.0,810.0,328.0,810.0,7.037905963447182,medium,-0.0128143631436314,J. J. Hardy,R,0.6744802375138548,1.0245897691016923,0.4697449288732003,0.6374882394168649,-0.052302049678848335,9.6489315,8.354912
429667,55,3266,0.5483772198407838,L,0.3137911781127861,0.6862088218872139,0.3755411255411255,0.7736248236953456,91.57974217311236,104.7,15.613259668508288,,0.525328330206379,0.3034686046511628,142.0,718.0,142.0,718.0,6.7580945044277305,medium,0.1502658597826513,Ryan Howard,L,0.8837886591851586,-0.47290525534418376,0.3146989190447276,-0.24533507330449958,-1.1934757384671866,8.6429205,-17.498106
429711,56,2351,0.4236495108464483,R,0.3022088353413654,0.6977911646586346,0.2615131578947368,0.5973568281938326,90.95804416403786,105.54,9.517350157728709,,0.4603174603174603,0.3565430711610487,376.0,158.0,376.0,158.0,6.282266746896006,medium,0.0647887153245354,Franklin Gutiérrez,R,-0.11562574610084436,-0.317264097570487,0.506696648824779,-0.26924173993289335,-0.1665377193149733,1.9450324,-15.882149
429713,57,1061,0.4919886899151743,L,0.185823754789272,0.814176245210728,0.3017857142857142,0.7045908183632734,89.19004739336492,100.9,12.33175355450237,,0.4690721649484536,0.3021756756756756,21.0,275.0,21.0,275.0,5.6937321388027,low,-0.1328187012987012,Grady Sizemore,L,0.15561138675727648,0.15809334521317814,0.6459029134382113,0.3314324088775279,-0.7411984387595126,9.234138,3.250649
430001,58,1704,0.4242957746478873,R,0.3278008298755186,0.6721991701244814,0.2180974477958236,0.6353919239904988,89.3518018018018,106.06,11.324324324324325,,0.3991031390134529,0.3024077669902912,191.0,221.0,191.0,221.0,6.023447592961033,medium,0.0786901992371656,Rickie Weeks,R,0.14228864420772028,-1.0480546454354964,0.28624939222667334,-0.45446620556084016,0.9658322494235269,-3.867334,-10.449996
430203,59,1188,0.4511784511784512,L,0.1231343283582089,0.8768656716417911,0.2625607779578606,0.6549912434325744,86.76837606837607,99.9,12.58119658119658,,0.4695652173913043,0.2778354430379747,12.0,304.0,12.0,304.0,5.75890177387728,low,0.2124879385964912,David Dejesus,L,-0.6809763232182274,0.1634854955049504,0.6102473081920115,0.0543584674995118,-0.03028034986753576,2.873977,7.338246
430321,60,605,0.6,R,0.2314049586776859,0.768595041322314,0.3815789473684211,0.8205980066445183,88.06408450704225,102.2,9.443661971830986,,0.3214285714285714,0.2749499999999999,60.0,120.0,60.0,120.0,5.198497031265826,low,0.01135,Delmon Young,R,0.22111449577178055,0.5240622202970083,-0.6570678987445121,-0.24626402254547605,0.04857723286999412,-10.662771,10.3381195
430404,61,1063,0.3433678269049859,R,0.2821917808219177,0.7178082191780822,0.178030303030303,0.5065420560747663,88.0944827586207,103.2,18.420689655172417,,0.5177304964539007,0.2939272030651341,123.0,138.0,123.0,138.0,5.568344503761097,medium,0.093887946270767,Jonny Gomes,R,0.3811882444427505,-0.33381452294506103,0.7565039151607448,-0.8353417396915748,0.29396899249204356,-19.693346,-2.0466325
430603,62,111,0.4504504504504504,L,0.0999999999999999,0.9,0.2758620689655172,0.6415094339622641,84.21428571428571,94.6,8.142857142857142,,0.45,0.2024516129032258,2.0,29.0,2.0,29.0,3.4657359027997265,low,0.2164137931034482,Don Kelly,L,-0.6697438205995293,0.5548430363089192,0.0006631649171171982,-0.07892415274309322,-0.020921411026213543,-2.9055507,16.462202
430605,63,2172,0.4493554327808471,R,0.2684426229508196,0.7315573770491803,0.2239488117001828,0.6781076066790352,89.48846153846155,104.49,11.32051282051282,,0.4144736842105263,0.3427686424474187,319.0,204.0,319.0,204.0,6.261491684321042,medium,0.0884831120535988,Ryan Raburn,R,-0.18951890282007028,-1.0552275031521279,-0.02077862275255971,0.5115410322279735,-0.005781208346033914,1.53607,-17.261084
430611,64,198,0.5505050505050505,R,0.3944954128440366,0.6055045871559633,0.3465346534653465,0.7628865979381443,80.85142857142857,99.3,3.5142857142857142,,0.5555555555555556,0.2505892857142857,29.0,27.0,29.0,27.0,4.04305126783455,low,-0.1678633461047254,Corey Hart,R,0.4725568491559382,0.032773698149774384,0.47523465572358975,-0.30971298222693516,-0.38159735107369247,3.2634237,-2.024732
430613,65,5,0.4,R,0.0,1.0,0.0,0.6666666666666666,94.7,94.7,16.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.6931471805599453,low,,Ronald Belisario,R,0.014508400437571735,0.02692232169347539,0.03175954382544461,0.008348719657881795,0.034314145592022005,0.50875837,0.80102754
430637,66,2543,0.467558002359418,L,0.2127838519764507,0.7872161480235492,0.3048869438366156,0.6578498293515358,87.30695652173912,103.9,12.130434782608695,,0.4725274725274725,0.3122488687782805,90.0,573.0,90.0,573.0,6.498282149476434,low,0.013041419429901,Kelly Johnson,L,0.10911582542018128,0.270230226603267,0.4055895304345544,0.2072260594442564,-0.7394389780348485,7.7877293,7.4073095
430652,67,834,0.4544364508393285,R,0.1424802110817942,0.8575197889182058,0.2881773399014778,0.6121495327102804,84.56050955414013,98.04,5.076433121019108,,0.3076923076923077,0.2777061611374408,58.0,153.0,58.0,153.0,5.356586274672012,low,-0.075087784539103,Jason Bourgeois,R,-0.574564626500687,0.8942555934945714,0.06275419328986369,0.9391051289216207,-0.14322456679329448,6.942076,13.394483
430681,68,104,0.4038461538461538,L,0.1428571428571429,0.8571428571428571,0.1489361702127659,0.6140350877192983,77.08,95.1,14.666666666666666,,0.6,0.1912857142857143,6.0,15.0,6.0,15.0,3.091042453358316,low,-0.1433333333333333,Dan Johnson,L,-0.2566315130167893,0.3066084299566745,0.6815733160715292,0.21020635995292775,-0.4149476071218211,8.745977,11.645675
430832,69,9594,0.3924327704815509,R,0.2329349269588313,0.7670650730411687,0.204964126430095,0.6103222898354744,90.59122933141624,106.6,16.77785765636233,,0.4800613496932515,0.34114203539823,525.0,1735.0,525.0,1735.0,7.72356247227797,high,-0.0290455276519829,José Bautista,R,0.7481951583154526,-0.6746456912168404,1.0167838455638438,-0.8618201199477172,0.1274610444911352,2.3480895,-13.3046055
