batter,embedding_index,swing,contact,split_inplay,ev,la,spray
453539,161,0.37500513,0.6798857,0.42683077,79.54239,6.2263937,6.259362
453568,162,0.48949987,0.7084325,0.4225677,82.89859,13.282193,3.9919698
453895,163,0.43878832,0.6211714,0.3776925,80.01153,9.909679,7.054847
453923,164,0.44161394,0.63603014,0.36040363,80.48684,12.688631,0.17191447
453943,165,0.44864213,0.6634368,0.40495348,83.930954,15.659711,6.4993763
454560,166,0.34617123,0.64569,0.3785421,80.29782,9.195029,-0.7874398
454975,167,0.4729027,0.67199045,0.40087903,81.378624,8.66089,-0.02712114
455104,168,0.43288895,0.55747265,0.33470947,82.02732,12.824262,1.8846285
455117,169,0.44430268,0.612031,0.36682415,82.10759,13.143387,6.4464793
455139,170,0.44907922,0.59467167,0.33872098,81.10659,15.375763,7.386758
455369,171,0.545458,0.7177121,0.4263337,81.30777,12.2923355,3.8025818
455755,172,0.35793164,0.6944521,0.4376549,77.810844,7.3222675,1.8663082
455759,173,0.43246588,0.6426723,0.38745743,79.31274,13.039804,10.0647955
455976,174,0.4386074,0.75600016,0.44526196,85.7871,8.12344,-3.03935
456030,175,0.42266586,0.7364221,0.43902117,82.29693,7.150134,1.3810039
456078,176,0.42823207,0.63493806,0.38574728,82.81016,11.530551,4.625578
456121,177,0.44007105,0.6200544,0.3912513,82.429665,7.7560587,2.6841562
456124,178,0.48879215,0.6403105,0.39404353,83.29856,11.783967,5.728437
456422,179,0.40583098,0.5777994,0.35605678,78.61191,7.7541127,1.047095
456488,180,0.5507357,0.7608992,0.4614213,84.173935,8.278863,2.6217413
456665,181,0.45181367,0.61077315,0.36643887,80.58785,9.344967,8.5903635
456714,182,0.44828016,0.70295423,0.41918442,83.83595,5.9650354,1.4397478
456715,183,0.45737362,0.68365926,0.3879134,82.4955,6.8138437,-2.7343392
456781,184,0.46339834,0.68436074,0.37656367,82.86464,13.4862585,-2.6592176
457449,185,0.44901517,0.58948493,0.35444012,82.32648,11.132817,3.3591146
457454,186,0.45974478,0.57364625,0.34825066,83.69675,15.822711,5.119208
457477,187,0.44425339,0.6353247,0.35721707,79.76711,13.139235,1.3090575
457574,188,0.44199255,0.66519153,0.40101743,79.74456,10.298763,2.1439629
457705,189,0.4172181,0.607132,0.35914636,82.24165,11.015423,7.316283
457706,190,0.41684878,0.6315509,0.3642812,82.11112,10.464971,-3.4647388
457708,191,0.43728405,0.5707415,0.35242382,83.355736,12.449963,3.4319658
457727,192,0.40900218,0.6458517,0.39973694,80.67105,4.0656137,-0.08842188
457759,193,0.44070998,0.7208739,0.40460637,84.72188,15.34252,1.4781277
457760,194,0.52471876,0.6167363,0.3699726,82.71959,12.743969,3.6971943
457762,195,0.45878184,0.63894886,0.38307756,81.332306,9.27159,2.5537672
457763,196,0.47490266,0.7211847,0.45087788,83.941376,10.2997055,2.7625375
457775,197,0.417515,0.65977883,0.3996358,82.129814,7.649338,3.0838683
457787,198,0.5253811,0.58544946,0.36175308,82.75586,11.427168,9.218045
457788,199,0.44199663,0.6148406,0.35271686,80.22648,10.39726,-0.80039847
457789,200,0.42156056,0.64520365,0.3684325,80.43709,11.505524,-0.81917065
457803,201,0.52186906,0.6227837,0.37242487,83.04406,11.549732,8.500775
457926,202,0.43434492,0.6594766,0.393763,79.175896,10.013096,4.5012264
458015,203,0.4197876,0.6506038,0.38952577,82.98237,12.0051985,1.4939758
458085,204,0.4376823,0.643779,0.38132042,81.274,8.028611,2.685619
458582,205,0.48158762,0.6234487,0.3593549,82.10405,12.010727,0.6411791
458668,206,0.46740457,0.61461055,0.37072384,81.929436,9.955891,2.9677694
458675,207,0.49305964,0.5689949,0.3540321,83.1647,14.680981,6.7026987
458689,208,0.5364834,0.6149201,0.3681458,82.5198,10.482197,2.0964766
458731,209,0.37565994,0.6958215,0.42063484,82.26977,9.893154,1.2154588
458913,210,0.47078675,0.60305774,0.35868707,79.821175,3.1384208,1.4593812
459431,211,0.47274464,0.597661,0.3628939,82.51235,7.531125,6.1748543
459964,212,0.4422603,0.564853,0.34618908,79.98577,8.682539,7.654666
460003,213,0.49530035,0.62355983,0.36830205,82.2369,10.24553,0.9532266
460026,214,0.5018653,0.6057739,0.34311822,82.05509,8.772869,1.7435638
460055,215,0.45729154,0.6033066,0.3600744,80.4204,10.49169,8.207294
460060,216,0.43160018,0.63113534,0.37390268,79.86505,9.697207,1.20015
460075,217,0.5298882,0.6745973,0.4000593,86.14519,6.10629,0.6821342
460077,218,0.41822574,0.6411455,0.37422884,78.97597,14.793489,3.494364
460086,219,0.47277582,0.63524485,0.37301213,82.166664,8.241784,5.802581
460099,220,0.40393117,0.60037076,0.3739524,80.646545,7.651972,4.0152597
460131,221,0.4917635,0.6143596,0.37073356,83.478485,6.3284154,0.854059
460269,222,0.41140404,0.60613894,0.3782331,80.00566,7.7969556,8.682768
460576,223,0.56498486,0.6560588,0.35881612,83.70205,14.920392,1.5784158
461235,224,0.5015511,0.5810218,0.34350988,83.03929,14.781532,6.4192634
461314,225,0.5465264,0.63524914,0.4021993,84.03523,11.991328,4.1200542
461416,226,0.481067,0.62949544,0.379396,82.73896,4.399623,1.7856534
461815,227,0.4713915,0.69435084,0.43802893,82.51892,9.356771,3.793618
461858,228,0.45366263,0.65082777,0.39158404,83.90309,11.337926,5.7647967
461865,229,0.5397037,0.66011494,0.3660584,79.30586,7.9029927,-0.6475045
462101,230,0.45359936,0.7107241,0.4419594,82.60817,8.216036,4.440943
462564,231,0.44222873,0.5790311,0.35988063,81.75364,10.342331,9.131961
463610,232,0.5045211,0.6574414,0.38593304,81.959755,10.416388,-0.062119164
465041,233,0.39344567,0.615259,0.3634789,81.41547,8.757923,2.064364
465674,234,0.56174546,0.672899,0.38560432,80.476875,12.744971,1.628367
465753,235,0.4520517,0.56702065,0.33692273,81.28898,9.175161,2.9431145
465784,236,0.4421162,0.6309461,0.37795308,81.01411,3.6023657,-2.4855595
466320,237,0.51350904,0.76722693,0.46910095,84.78964,8.294141,0.5766642
466988,238,0.47495806,0.6390558,0.37904304,81.0526,9.750197,-0.114994876
467055,239,0.5650939,0.7077485,0.41522634,86.864685,10.932729,-0.6132829
467070,240,0.49574956,0.60469836,0.3388051,80.02238,12.689588,-1.1728705
467092,241,0.5417863,0.6632868,0.41060212,84.548706,2.4139352,1.5481164
467143,242,0.5492359,0.6661513,0.39025542,84.311356,13.206186,5.179897
467793,243,0.4255526,0.6604829,0.43141475,83.78647,7.445565,9.074627
467798,244,0.483289,0.6647012,0.39831892,82.25358,8.267319,2.3555996
467827,245,0.54133725,0.70086575,0.41506812,82.05369,8.673623,0.59652746
468406,246,0.45717716,0.6708504,0.39503232,80.889854,11.526035,2.286771
471083,247,0.498266,0.62647545,0.36384165,81.92609,11.367236,0.997295
471865,248,0.5663673,0.6174945,0.3983231,85.04437,8.386992,0.007521286
472528,249,0.44867194,0.5889629,0.35219377,82.8358,13.780996,4.0271883
473724,250,0.48216578,0.6833817,0.42258373,80.773,10.286306,5.874834
474233,251,0.46888936,0.6055719,0.37725493,82.47453,12.751454,9.060597
474249,252,0.45770788,0.6349256,0.3806297,82.005714,9.335814,1.3060374
474319,253,0.48967886,0.6003423,0.36163628,82.5122,10.712492,1.0900735
474443,254,0.43202803,0.6545205,0.38380998,80.20808,8.568832,-3.5605512
474494,255,0.36922246,0.6188036,0.3772995,80.18399,8.769305,2.512101
474568,256,0.42539093,0.6952159,0.4304695,81.1795,9.703007,3.493316
474832,257,0.49364018,0.60710466,0.31818673,82.3033,17.6037,1.918312
474865,258,0.5004628,0.6491538,0.3842491,81.72758,8.243095,1.0870298
474892,259,0.45318857,0.50823444,0.31137234,83.21062,11.863147,5.3948145
475100,260,0.47414866,0.6229777,0.3661324,82.57842,13.086655,4.371762
475174,261,0.5012318,0.63553894,0.36875486,82.002205,7.3828034,6.4981055
475247,262,0.46191034,0.6197935,0.39105102,82.705536,3.986573,5.5955877
475253,263,0.4447245,0.62929136,0.38118827,83.12269,10.177949,6.268708
475582,264,0.45018563,0.6805385,0.45022687,87.37324,8.437692,1.897295
476192,265,0.4934096,0.5962896,0.36454776,82.77785,8.342815,3.6694553
476270,266,0.4306251,0.61986804,0.37224084,80.456566,7.9498262,1.6880367
476633,267,0.46482274,0.6534474,0.37431,83.24337,15.450863,1.0752047
476704,268,0.4555724,0.6425225,0.37406212,82.63125,11.2642145,-2.7352626
476883,269,0.48290282,0.5931052,0.379541,84.744095,8.341638,6.024189
