,Hard throwers (top 20% velo),Soft tossers (bottom 20% velo),Fastballs up (top 20% share of FBs in top third of zone),Fastballs rarely up (bottom 20% share of FBs in top third of zone),Breaking balls buried (top 20% share of breaking balls below zone),Breaking balls rarely buried (bottom 20% share of breaking balls below zone),Breaking-ball heavy (top 20%),Fastball heavy (bottom 20% brk),"North-south (top 40% on both: FBs in top third, breaking balls below zone)","Power elevators (top 40% on both: velo, FBs in top third of zone)","Soft breakers (velo bottom 40%, brk top 40%)",name,stand,prior_pa_R
645302,1.4035889771326153,-1.556802012016498,-1.8059211862346012,2.3710567926496915,3.0954683900974294,-1.0952588002010377,-0.038598579270883206,-1.5963042054128822,1.1585193158628786,-0.6190694768163951,-0.4965366070308946,Víctor Robles,R,1243.0
663662,0.5237718523751982,1.8561599605534433,2.3433602581243647,-1.5830940638187538,-1.1386273425668667,-0.2698423018331084,0.7309198527800198,0.6758816481778396,-0.431538807691909,0.8823960793695829,1.4087410379714063,Daz Cameron,R,171.0
457759,-0.251689721585062,-0.15590597567176914,-3.0341186562810276,5.48271418196109,2.557123011177067,-1.2994291903396056,-0.6243694166548254,-1.240675519127229,-1.721180801779292,-2.22528042742247,0.3057232711368904,Justin Turner,R,3150.0
668227,0.6528286129004574,-1.9349887620849082,7.122483056338278,-5.030938231909813,1.6509775945829526,-0.9360696645844998,-0.6780220065691633,-0.8728806287517401,4.898513200589811,3.347642874267984,-0.4315579190482385,Randy Arozarena,R,1474.0
677594,-1.7220236316299806,-1.4061358897972536,6.967559927002125,-7.737915016268254,-3.1608660701656315,0.058176846541158296,1.4729435820164674,0.5015138571300704,3.6398335923887464,3.467269885504454,0.02670266645808523,Julio Rodríguez,R,964.0
663527,1.8230890464888332,-1.0383369426612683,0.11284260975338745,0.6183879735772437,2.038308032976344,-0.924335730726461,1.0445704663875384,-2.1990083197853245,0.865059538802761,1.1305305664563248,-0.04067876426753482,Tyler Nevin,R,200.0
676914,-1.9921125174659218,5.423841561332728,-1.7958897112575836,4.809900447755607,2.5154491285333744,-1.20085763228069,-0.5440610822876043,-0.6765436970462672,-4.7339114313355255,-4.130899122267189,3.7025246109578713,Davis Schneider,R,87.0
676391,5.726287143712315,-5.628042457540031,-3.935498686229974,1.3588745115758245,0.47765917805996017,0.03393210090007898,-0.2607921550788455,-0.2150815667469124,0.488690020752168,3.2383419970589644,-3.5318755138766917,Ernie Clement,R,202.0
665489,3.660884297571748,-8.977138842299528,9.918258479257316,-10.631128491030761,-0.2689793267232096,-2.114177378130909,-0.14934770759612986,1.2141610924638406,8.448219013792942,9.203111753742359,-6.550470328352848,Vladimir Guerrero,R,2200.0
681393,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Connor Norby,?,0.0
669394,-5.302293405516831,1.7905094054523631,-3.1165589595075964,3.497768811900661,-3.1359356880383316,0.7643663582209587,-2.244912878797618,4.086023175329085,-5.851173000765661,-5.078338676458444,-0.29949634663055386,Jake Burger,R,563.0
663743,3.115558035061733,-3.7941770054372377,0.13917281299671005,0.046954747050665525,2.837979863764161,-1.0482351093718831,1.687712818629985,-1.1482735538502173,2.3433960107060785,1.846945512997931,-1.6680344469995947,Nick Fortes,R,431.0
