pitcher,p_throws,n_pitches,n_fb,fb_velo,fb_height,brk_share,bf,fb_velo_tercile,fb_height_tercile,brk_share_tercile
607074,L,15478,9346,94.30445110207576,2.684360238276359,0.30320454839126504,3846,2,2,1
607179,R,2008,1127,96.25430346051465,2.8090239698646315,0.34063745019920316,485,2,2,2
607188,R,3652,2102,92.01555661274976,2.7630797157133253,0.23357064622124862,894,0,2,0
607192,R,8696,5170,96.16398452611219,2.569528794582313,0.37568997240110397,2178,2,1,2
607200,R,8142,3836,93.1456204379562,2.351302122685369,0.23434045689019897,1957,1,0,1
607215,L,1862,1129,91.03383525243578,2.446579419356874,0.2738990332975295,487,0,0,1
607216,R,1236,455,94.56043956043956,2.5014865531519512,0.052588996763754045,309,2,1,0
607219,R,4564,2922,94.56919917864477,2.580413735784096,0.30148992112182293,1185,2,1,1
607229,R,5962,3608,93.76798780487806,2.400880155842956,0.2988929889298893,1571,1,0,1
607231,R,6363,3445,93.14145137880986,2.4233074489034414,0.137985227094138,1565,1,0,0
607237,L,5561,2933,94.00565973406069,2.3163126965619756,0.43373493975903615,1407,2,0,2
607259,R,7991,4036,91.96072844400396,2.4868277882029055,0.21574271054936803,2122,0,1,0
607309,R,702,401,91.88104738154614,2.7952239278696913,0.3475783475783476,172,0,2,2
607320,L,444,135,87.56370370370371,2.8546066713267146,0.1373873873873874,126,0,2,0
607352,R,5533,3117,94.16259223612448,2.4197091145149137,0.1973612868245075,1458,1,0,0
607359,R,1878,1142,92.75490367775832,2.51429523987283,0.33386581469648563,465,1,1,1
607374,R,3654,1762,91.03217934165721,2.332504599864725,0.2545155993431856,936,0,0,1
607391,R,1367,529,91.37939508506615,2.4838534713045877,0.27066569129480617,357,0,0,1
607455,L,2116,1180,94.1414406779661,2.720354242542453,0.10964083175803403,539,2,2,0
607457,R,5209,2959,94.58894896924637,2.4858484771513587,0.3618736801689384,1239,2,0,2
607473,R,1608,954,90.66027253668763,2.4324195080682047,0.35634328358208955,439,0,0,2
607481,L,4667,2982,94.70160965794769,2.1671433678473524,0.24769659310049283,1162,2,0,1
607536,L,15712,7676,90.99907503908285,2.59775859182073,0.1167897148676171,4160,0,1,0
607555,L,310,190,93.19947368421053,2.37506309051894,0.10967741935483871,87,2,0,0
607560,R,1816,604,88.52499999999999,2.281405491060302,0.6607929515418502,481,0,0,2
607572,L,1725,738,92.80555555555556,2.939065210705861,0.5582608695652174,409,1,2,2
607625,R,10208,5302,93.37578272350056,2.563165212864361,0.3974333855799373,2612,1,1,2
607644,L,6271,3073,92.3759192971038,2.8206537599382684,0.22978791261361825,1536,1,2,1
607755,L,1139,181,89.09889502762431,2.774524079246833,0.8252853380158033,293,0,2,2
607968,R,1149,598,91.71605351170568,2.635447751640519,0.19843342036553524,305,0,1,0
