pitcher,p_throws,fb_ivb,fb_run,fb_spin,si_share,rel_height,extension,rel_side,off_share,velo_gap,mix_depth,brk_sweep,zone_rate,glove_side,fb_up,brk_down,brk_height,off_down
433584,R,11.104436363636363,12.177309090909091,1910.0367197062424,0.47878787878787876,5.882027118644068,6.656130790190736,0.8156813559322035,0.2874576271186441,5.907403263403253,3.8168792686328623,3.77027027027027,0.4352542372881356,-1.1355088724448725,0.20727272727272728,0.42792792792792794,1.7619885279596699,0.45754716981132076
433585,L,11.257659574468086,14.594680851063831,1948.448087431694,0.9521276595744681,5.73485,6.976962025316456,3.5183,0.165,11.195574066639907,3.370265829717319,7.924109589041096,0.42,0.6913369819996181,0.18085106382978725,0.4863013698630137,1.6312005667278824,0.42424242424242425
433586,R,12.304548736462094,13.339680247550284,2320.5632740980077,0.6714801444043321,5.730725589728277,6.2795622688039465,2.2986503433860856,0.041206330247835175,9.983409961265394,3.7598926051563337,7.038227848101266,0.44520752463421914,-1.169242795567041,0.27694687983496646,0.3275316455696203,2.054227247046047,0.5072463768115942
433587,R,9.380986209778522,10.279331383201002,1995.5229613733904,0.6913915587129127,5.9790676762896355,6.261281902552204,2.2950099384761002,0.23965925224798865,7.3964675225449525,4.182936304515381,9.980685820203892,0.4562233790818741,-1.471579090767351,0.2384036773923945,0.3938832252085264,1.812338050425246,0.4048183254344392
433589,R,17.284139172165567,5.422315536892621,2208.8274188656355,0.005698860227954409,5.709066185652837,7.05346062052506,1.2326418759539337,0.16483973914250036,7.484763140323125,3.412079140811261,9.239846055163566,0.48688774802275564,1.5007736918077481,0.29634073185362925,0.3470173187940988,1.9375032223852884,0.2239057239057239
434137,R,12.850786516853933,11.395955056179776,2224.697142857143,0.550561797752809,5.879818731117825,5.915290519877676,2.426616314199396,0.03625377643504532,7.9796467650730705,3.040911487968026,6.141276595744681,0.4773413897280967,-0.1240575454956232,0.4101123595505618,0.36879432624113473,1.7853340969783664,
434378,R,18.754798160449667,11.060367910066429,2531.8285836177474,0.0011071367739737693,6.744083883129123,5.916400245202056,1.9621611687087652,0.04820923656927427,10.298684330033169,2.573874560789544,5.568864068441064,0.510650329877474,1.9019014955707039,0.5382388008857094,0.31855988593155893,1.9799447355433162,0.3597262952101662
434442,L,3.1728340080971664,16.745951417004047,1965.235294117647,0.9969635627530364,6.269972375690608,5.189230769230769,0.697353591160221,0.052486187845303865,6.78403026094152,2.1894907651221294,8.558887343532685,0.4298342541436464,1.0778685536666583,0.29453441295546556,0.43532684283727396,1.7301829830983622,0.43157894736842106
434538,L,10.824296182028538,14.406386424990359,2035.432264334305,0.8810258387967606,5.821927353595256,6.186180225514863,0.9355290956263899,0.20153817642698296,7.36938837774909,3.09904703994009,2.025507584597433,0.4242031134173462,-0.0959651652144968,0.30331662167373696,0.3643523920653442,1.9101034480227483,0.39264367816091955
434622,R,15.139218254806677,11.786723008662582,2107.567434912505,0.5886330023241073,6.472254428341385,5.841339808243059,0.7041335315248359,0.18741483958875263,8.09280023304332,4.10315453320014,9.776214405360134,0.47838473925430447,0.6412926009690555,0.29156982886118743,0.24958123953098826,2.235453367098863,0.4633179114342366
434628,R,14.0818018018018,11.22527027027027,2149.0924067411474,0.49268018018018017,6.489674154053794,6.342566782810685,2.1635814132844886,0.03692278029499663,8.591629657407651,3.6606064088551467,5.776530348687042,0.49493878337992864,0.4210523417846155,0.39320570570570573,0.3618166164442531,1.9285327704954354,0.26109660574412535
434643,L,18.381806853582553,12.460934579439252,2191.188699360341,0.5524402907580478,5.403919344675488,5.692525773195876,1.8754379332073094,0.04788909892879647,13.070075485262407,3.273270646643316,8.706519337016575,0.47448015122873344,1.5219301229673268,0.3364485981308411,0.36095764272559855,1.88865638751533,0.42105263157894735
