batter,stand,stratum,centered_obs,centered_pred,agree
663609,R,low,0.23394985816894048,0.0021781322278517177,True
663611,R,medium,0.017701025758817688,-0.003876477054603783,False
663616,L,medium,-0.05145354061734964,-0.01687511703445998,True
663624,R,high,0.03360307532215759,0.0030122852557475186,True
663647,R,high,0.1309151187957548,0.003798094562461418,True
663656,L,high,-0.05046224618098124,-0.0032676502120906753,True
663662,R,low,0.1535839439883751,0.003154608484164016,True
663697,R,medium,0.019917057149042388,-0.003167804860946883,False
663698,R,medium,0.09076109466767698,-0.0007148120423459831,False
663728,L,medium,-0.005244299266532547,0.015949235271544824,False
663743,R,medium,-0.04253695513151151,0.002296086305889516,False
663757,L,high,0.0032430436511378564,-0.004973142227545378,False
663837,R,medium,-0.02423262527342481,0.001930718677570718,False
663853,R,low,0.1437751962245111,0.0029121974701321173,True
663886,R,medium,-0.01615383308383811,-0.00020575257804608324,True
663897,R,medium,-0.2008383418133384,-0.0005487715748596824,True
663898,R,medium,0.041152472625361994,0.0035554074155900155,True
663993,L,high,0.05680521413647896,-0.01083672308742948,False
664023,L,high,-0.0013923170762695433,0.020589099733163224,False
664034,R,high,-0.011549676325643708,-0.003888674511749183,True
664040,L,high,0.05852223692850186,-0.012605874904794076,False
664056,R,high,-0.0513384808051842,0.004916250743703618,False
664238,R,high,0.028465649414731693,0.0013300270015378177,True
664314,L,low,0.15331156334282825,-0.007587543449138576,False
664728,L,medium,-0.06204077599831704,-0.009093665029770479,True
664761,R,high,-0.0010925027190448085,0.005041397208622117,False
664770,L,low,-0.08482034141907643,-0.006409502174114179,True
664774,L,medium,0.07388255349526315,-0.00365012480941828,False
664874,R,medium,0.11797289300447529,-0.0038047193052714832,False
664901,R,medium,0.12384221118629347,-0.0018470183660387832,False
664913,L,medium,0.031438291453427455,-0.012331656576242578,False
664983,L,medium,0.005562577783692454,-0.004771936324518777,False
665019,L,low,0.07884799912926405,-0.006467682037293573,False
665052,L,low,0.03896842608792615,-0.005321757643873874,False
665161,R,medium,0.04008992900901129,0.0030797437440797156,True
665487,R,medium,-0.07875389154572021,-0.0042415175478934825,True
665489,R,high,-0.012999319479454409,0.0061642403242673175,False
665506,R,medium,0.06794257732958409,0.0014176628168225177,True
665561,L,low,0.026748933943242355,0.021774227167934222,True
665742,L,high,0.022875950281802355,-0.008670010122543474,False
665750,L,medium,-0.020622970527057645,0.017319685188066723,False
665782,R,low,0.1958539127200538,0.0004478704994059172,True
665804,R,low,-0.12341293726936982,-0.0009238830952016837,True
665828,L,low,-0.07259484057753604,0.020842307545163925,False
665833,L,medium,-0.017151207219942247,-0.03353688738492238,True
665839,L,low,-0.12035223854156174,-0.00403133055099518,True
665862,L,medium,0.008935126561219156,-0.009455990467005279,False
665877,R,low,-0.2094497817306994,-0.0027910364762948822,True
665923,R,medium,0.2095845383036206,-0.004397716632803583,False
665926,L,medium,-0.002774145975248346,-0.0002394346700934774,True
665953,R,low,0.1532948831312068,0.0004478704994059172,True
666018,L,low,-0.04582824181522815,-0.006601805139362676,True
666023,R,low,0.021556015268390193,-0.0016818122030212834,False
666134,L,medium,-0.017563377722706844,-0.015759460063853578,True
666139,L,medium,-0.026258299377034347,-0.013444567389284477,True
666149,R,low,0.04070955746070869,0.0002124894218448175,True
666150,L,low,0.04330469935662505,-0.0070101226192635785,False
666152,L,low,-0.049258693479001546,-0.0024338408067170747,True
666158,L,medium,-0.10309678688055623,-0.00939909758785918,True
666160,L,low,-0.025940798959795147,-0.01187876550057948,True
666163,L,low,-0.005706148620005645,-0.012482108892863775,True
666176,R,medium,0.07166939523412959,-0.002986748841800684,False
666181,L,low,-0.014953864026857742,-0.009012501209526978,True
666182,R,high,-0.12842056233051222,0.0015845294488897165,False
666185,L,medium,0.06731659138968676,0.022257065975223124,True
666310,L,low,0.0035500264360452567,-0.003664371031020776,False
666397,L,low,0.019328378617106255,-0.009571457827331376,False
666464,R,low,-0.055722532403450015,-0.0004072758483771831,True
666624,R,medium,-0.0688128391981046,0.002059179505993417,False
666703,R,low,0.2180956494147317,0.0013525026259340166,True
666915,R,medium,-0.10532708885328951,0.00015598092707051758,False
666969,R,high,-0.0013911707607069078,-0.007943225442498984,True
666971,R,high,0.05966635524908488,0.0004496696913779165,True
667452,R,low,0.04342668028861969,0.0019638778669255185,True
667472,R,low,0.053682662401744685,0.0017841943127802178,True
667670,R,medium,-0.01668524727142811,0.0031959074993302156,False
668227,R,high,0.02790969147624259,-0.001240876379724084,False
668670,R,medium,-0.06296318504697011,0.002724288932937616,False
