batter,cosine_real,cosine_null
431145,0.9452016827727635,0.01298089653659494
431148,0.9772033217125938,0.06305382754896821
431151,0.9515954417529743,0.19108940152333104
431171,0.9722165876451779,-0.040091428060368216
433217,0.9626067318436774,0.2189934717585959
433584,0.9703050137736204,-0.07917423886405339
434158,0.9871506695839842,-0.0512529531876455
434538,0.98683074939845,-0.1663024184197689
434540,0.9544939192539124,-0.14850222028235627
434563,0.9566704223765614,0.40770324722373963
434567,0.9732399870809277,0.14094478333559024
434604,0.9783537155942763,-0.281444337213884
434628,0.9884754357558445,-0.1436200471894678
434636,0.9415236508121017,-0.0256183996977727
434658,0.9828186713579594,0.43482866870249737
434670,0.9625976280080221,0.21700700258884334
434671,0.990060722453616,0.14856617079191892
434778,0.9527449570399409,0.18301109069150523
435044,0.9529572426091163,-0.1928730630504942
435062,0.9513696169768877,0.3173056728579858
435063,0.9525067970360159,0.11018894203635267
435064,0.9773561947315788,0.33472622780316075
435078,0.9825536942444553,0.036176942594682314
435079,0.9750431815542195,0.16477965350231658
435180,0.9840500428207813,0.014999330974721822
435263,0.9757996316545016,0.34927114421821553
435401,0.9765333731869891,0.29936854349915193
435522,0.8631818718617635,-0.09331096139791215
435559,0.9560673180183223,-0.08807500266298157
435622,0.9545654393033466,-0.020417109425974092
435623,0.973473446380964,0.14728744364959742
443558,0.9820777672374267,-0.21458284121477086
444379,0.9737726374701696,0.05136933346296052
444432,0.9852009021258935,0.2829501383869193
444482,0.9605160379223516,0.19229475922963538
444489,0.9761908826298482,0.16683726167696028
444836,0.9076121566870716,0.3178836047658403
444843,0.9595949853511166,0.2691859257620239
444876,0.9317172291662456,0.15040852289868487
445055,0.9662395464110569,-0.3094562172530657
445095,0.9691058495745459,-0.05844843214027513
445213,0.9399550886967362,0.5134038582213676
445988,0.982346509085082,0.22345875404804175
446192,0.9824012857277898,0.29667633395851883
446225,0.9662325689298454,-0.13852048270843184
446263,0.9883888661751812,0.0020897478441665174
446308,0.9567284692272816,-0.020797507097530435
446334,0.9551022013559474,0.13552935526061272
446359,0.9459417248470163,0.1855617904392994
446381,0.9852345220780119,-0.1495288618503715
446386,0.9522298746176969,0.18985889675542986
446481,0.9172145998673152,0.14640028731404753
446653,0.9872090545989612,0.22511095524252708
446868,0.9739169330993136,0.004110937469644235
448170,0.9829111107680779,0.13208289701884113
448306,0.9819333886230739,-0.06882904895782452
448602,0.8926333757931983,0.14036779485422288
448605,0.9784676100571497,-0.1828057768754408
448674,0.9806473787695331,0.42909659006556955
448801,0.939057769766348,0.4220722422832857
448802,0.9710584785717423,0.4156234735546928
449107,0.9733984547601505,-0.21003421920742216
449168,0.9731842611811978,0.011304073880163856
449181,0.9796734294822707,0.008572529700599657
449786,0.979864405543124,-0.023413392037651817
450203,0.9923357827461367,-0.17709482971151402
450314,0.9565122434275928,0.13046726213756443
450317,0.9839024590019128,-0.023178838183246023
450641,0.9728994738742825,-0.34044235553003854
450665,0.9518840440463137,0.4382715423205288
451089,0.9484544989443531,0.16661021642469348
451109,0.9785934359866636,0.22422088443991303
451192,0.9861936653613057,0.3493521355054103
451594,0.9673457640775716,0.005346303409571498
451705,0.9905055156788496,0.44420548461306275
451713,0.984955482299236,-0.12355940230340996
452035,0.9737817863338596,0.10218958614546444
452095,0.9656343903396623,0.2088473973275833
452104,0.9378616652760844,-0.164649136383425
452220,0.9555477519423468,0.03304649812498846
452234,0.9713436210508779,-0.11586897214399254
452239,0.9763067277109696,0.3430973065674768
452252,0.979457645780936,0.21629976384050467
452254,0.979146639385621,-0.019547719718832027
452655,0.9825768775882178,0.11168464203683709
452657,0.9825860626437972,0.26130704258159076
452672,0.9744556299951255,0.06816459320288651
452678,0.9729301220421526,-0.013248778503237933
452718,0.9355801845143936,-0.2327593942118556
453056,0.9425512179157259,0.17471901124303596
453064,0.9624262338525779,0.18757847183045606
453203,0.9798496452760745,-0.2414815683192149
453211,0.9748920192992103,-0.03928910162170119
453269,0.9830697154105638,-0.08915430304329879
453286,0.9804844128506186,0.3301484297087114
453307,0.9616333301021527,-0.3046961994517856
453329,0.9004505635293126,-0.11310131154157765
453385,0.9884920804388994,0.292022999231475
453400,0.989327919161953,0.20168318939437613
453527,0.9768620702331423,-0.07292462831333958
453539,0.9805257813365666,0.3439553646591022
453562,0.9823212950202437,0.20997047803050928
453568,0.88364264397205,0.12832175416347347
453895,0.9835900062721747,0.09613911968529179
453923,0.9560965816361677,-0.013518404429529951
453943,0.9691754051569534,0.2745630987529891
454560,0.9648260316121928,0.0005572880511650474
454975,0.9836023661814168,-0.034626863738810035
455104,0.9811886805120086,0.4086602099998533
455117,0.9603835652335965,0.20191932449650327
455139,0.9660329010799842,0.030577836203299333
455369,0.985097654105304,0.0939814833440764
455755,0.9738094328073321,0.10767471527152446
455759,0.970690419266107,0.03473289172927617
455976,0.9384337791240779,0.41095474412164545
456030,0.9791652630746152,0.21926693152011
456071,0.7814294799223099,0.0643893570614148
456078,0.9448292558310607,0.2833693303754671
456121,0.9678909903822007,0.17252888013688183
456124,0.9709112444208698,0.05761937553468302
456422,0.9803323179283406,0.41872956551737606
456488,0.9549313979801843,-0.06639395134045592
456501,0.9883751963368366,-0.14358309236148914
456665,0.9796242467114094,0.09955758390082345
456714,0.9740085972410263,0.00663246450826465
456715,0.9628685539741831,-0.13760478728916067
456781,0.9468459104780778,-0.16757082204034415
457449,0.9652238710582439,0.49971697119278724
457454,0.9333498348531346,-0.045267493893032626
457477,0.9691278624146283,0.037994404305393935
457574,0.9774000573663295,0.002239622299944344
457705,0.9666141370867053,0.02253484777130922
457706,0.9657424242766892,0.3379967817963838
457708,0.9751740338848536,0.6296437229727748
457727,0.9675183192064322,-0.12649802234547308
457759,0.9640066750064478,0.24659104130664272
457760,0.9804713738605105,0.003578992993307828
457762,0.9727723324850489,-0.06672617196088423
457763,0.9385796562628539,-0.018435527689988296
457775,0.9605163862966348,-0.26634680322489485
457787,0.9641653175555825,0.2846066306061999
457788,0.9815077821374188,-0.1415139997350505
457789,0.9788839012204591,0.10030017509221914
457803,0.9654841679856723,-0.014362797406565042
457915,0.9509475988540856,0.05563662393846356
457926,0.9720998879244199,0.017427562879412016
458015,0.9806528103156413,0.04365844985789237
458085,0.9630397221539823,0.36028443534294274
458582,0.9820100171578116,0.2249314480395711
458668,0.9749968102815204,0.22072628517832593
458675,0.9716237052384762,0.11039365111992105
458681,0.98533729498581,0.21449402563849596
458689,0.9735929331178408,-0.23269315967949483
458731,0.9785108718321878,0.24561270168319901
458913,0.9663516067847442,0.17149184843194995
459431,0.9697826978270508,0.07752293426693799
459964,0.9614362369085685,-0.019712190245833427
460003,0.9820846568222836,-0.16751675374120625
460026,0.9633249460096511,-0.2587272068997287
460055,0.9827447009453693,0.23233715062959487
460060,0.9475104169932879,0.23612907748062087
460075,0.9656526490312815,0.44386531277373675
460077,0.9689879634332423,0.3954440352756412
460086,0.9566697121107104,0.12258571455722181
460099,0.9694349968711942,0.05893771515494926
460131,0.9717796200480588,0.05052720855333826
460269,0.9779193604074924,0.051991563233648695
460576,0.9724427604973639,-0.0906009679163149
461235,0.9753510466110495,0.0938157152032525
461314,0.9336509943972109,0.0820567557857169
461416,0.9521518961273996,0.3748598992366355
461815,0.9619356616624599,0.16319042683113877
461829,0.9935204634609704,0.1763905791342963
461858,0.963832387053403,-0.05040194838760939
461865,0.9864434321445201,0.21804026454153286
462101,0.8756071226284463,0.394060392698757
462564,0.9868477143464591,0.13677758226466247
463610,0.9792861253189387,0.06423147661230708
465041,0.9584310210078296,0.015693507809051682
465674,0.9852856523295556,0.19523701753057676
465753,0.9660820392929108,-0.06045280227461547
465784,0.98440113130878,0.1309537180504305
466320,0.9722952109704586,-0.0802892930069381
466948,0.9564366868871395,-0.2218317660813236
466988,0.9464774187025548,0.34639276397383134
467055,0.9801757048630327,0.046425454100711
467070,0.9683862729466226,0.1621645019768796
467092,0.9624064718877122,-0.016902084658962972
467100,0.9881351112753004,0.1281251727034759
467143,0.9906109111926205,0.04335267649703131
467793,0.9549051066092219,0.4052460783346347
467798,0.9819576489270132,0.007041613879226694
467827,0.9547198056986232,-0.10194146226975628
468406,0.9559912925535301,0.07622729983684494
468504,0.9837847858503872,0.1362486564434315
471083,0.9766815386047032,0.2309173454239805
471865,0.9637805342101263,0.36424056511101194
472528,0.9746819754234315,0.1614486966372113
473724,0.9841455368527423,0.0680897268879985
474233,0.975014421889183,-0.22158433700354974
474249,0.9436897958326229,-0.21396028680240498
474319,0.9753090444316836,0.06677427930276345
474443,0.9783433800492108,0.221658093322711
474463,0.9830576097269907,-0.03501175159113135
474494,0.9664283181398963,-0.27300215040040093
474568,0.9453194983773849,0.288630903018768
474668,0.8131850869173719,-0.03340010207422912
474832,0.9457425364708576,0.21172901074824244
474865,0.9772290156755119,0.032272237662095714
474892,0.9846946122632437,-0.04773552471992575
475100,0.9232190326770755,0.12238522659656971
475115,0.9740035304303756,-0.08468110189086327
475174,0.9768849689127981,-0.02692387931358005
475247,0.9608236936917064,0.07797722699349809
475253,0.974169244007583,0.10095674995428404
475582,0.9667324558674913,0.2286860838435696
476192,0.9823837023637265,-0.20535184291467892
476270,0.9758665758145808,0.00851173870264671
476451,0.9841371412316975,-0.19384120790796125
476570,0.9634488806810789,-0.054848357067561304
476594,0.9832704870931963,-0.3086164087389318
476633,0.9702069830155664,-0.0813327323738805
476704,0.9766556495844276,0.11394499404727479
476883,0.960043715525299,0.12076057594304615
477003,0.980399416996439,0.3053054817811674
477132,0.9857168884035621,0.024512722188722358
477165,0.9874863694644214,0.3565827086794527
477195,0.9255150477182563,0.0578012891099018
485567,0.9805101263014111,0.2918197534639808
488671,0.9776275802533536,-0.021662047396235257
488681,0.9693436874631662,-0.06715581527280495
488689,0.9651685277148983,0.08426066787776526
488703,0.9787034793962326,-0.14030499659394569
488721,0.952013631601293,0.3219191031813796
488726,0.9487714862390471,0.31460497141924076
488768,0.9781041030092491,0.06421802154450751
488771,0.9588700529710308,0.11414568354381166
488810,0.9797701226131337,0.22008423520819664
488818,0.9576343965474486,0.08574956899477328
488852,0.9879161232724192,0.1396349604547425
488862,0.9707232354523848,0.3902125123448249
488912,0.9622553694743528,-0.07375504102077282
488984,0.970763783950052,0.2246436540935987
489067,0.9655884258789439,-0.07878986049148914
489119,0.9849307463811409,0.28216291385530884
489138,0.9665443315959239,0.13841376621297408
489149,0.9445454682749584,0.3015548786849407
489232,0.9733550155527295,-0.16214507634921205
489267,0.9534143190554302,-0.01387805406193067
489305,0.9722300892272797,0.21294788085182448
489365,0.9809482471523151,0.008762380902683095
491676,0.984588974260489,0.054946978092078214
491696,0.9852963694860828,0.3265559868868121
492802,0.9882831282049164,0.2905511517869984
492841,0.970908122685572,-0.017437444491662568
493114,0.9547012151973528,0.2687617361980864
493128,0.9839107039279881,0.20966848035545455
493193,0.9694470788638916,0.10476462473553244
493316,0.960753081083393,-0.003957692249612232
493329,0.9804217268474571,-0.028532365832189023
493343,0.9746390429880958,0.25505207098630756
493351,0.953128088614154,0.06352996157595707
493472,0.9641233156132882,0.18466236993062612
493596,0.9431281110920483,-0.2511554982638609
499624,0.9816156061149319,0.08098788302179366
499864,0.9785327700389392,0.11315566619277317
500135,0.9810312834893418,0.0161065296871631
500207,0.9821054074637766,0.293528055869349
500208,0.9480849133407822,0.09180362574160508
500743,0.9530364676252687,0.009560181773605625
500779,0.9891806438072235,-0.14147736477934297
500871,0.9349711241307944,0.24911615464057932
500874,0.9576774993187076,0.4631494397046527
500887,0.9660930683378465,0.30919142079595857
501213,0.9664849788211736,0.04071814916423429
501245,0.9155459714745664,-0.016964348768128135
501255,0.9875576298642088,0.03925712392108301
