batter,name,stand,stratum,log_prior_pa,level_query,woba_level,pa_2024,woba_2024
592178,Kris Bryant,R,high,8.374246182096304,0.331933833794515,0.3690350796215093,155,0.28703870967741935
592192,Mark Canha,R,high,8.170185652879642,0.3304477895121963,0.3372550240588735,462,0.3098413043478261
592200,Curt Casali,R,high,7.2115567333138015,0.292685267532692,0.3082075332348596,125,0.2536829268292683
592206,Nick Castellanos,R,high,8.535425959677298,0.3263133807831271,0.3435820074641524,659,0.32078386605783865
592273,Brandon Drury,R,high,7.936302693201959,0.3145882123873488,0.3193322603719599,360,0.2166361111111111
592325,Ben Gamel,L,high,7.699842407396986,0.3015596292205149,0.3126180335296782,99,0.32662244897959186
592348,Niko Goodrum,L,medium,7.333023014386481,0.2954509171603287,0.2974453891432309,33,0.14728125
592450,Aaron Judge,R,high,8.179199798423086,0.392638866972834,0.4091643758765778,704,0.47575549048316246
592518,Manny Machado,R,high,8.621012520055235,0.3783293864997735,0.3570667147493689,643,0.33970015698587125
592626,Joc Pederson,L,high,8.239857411018601,0.3348353591364919,0.3427663674762407,449,0.39105442176870747
592663,J. T. Realmuto,R,high,8.417593826193484,0.3352426978809379,0.3356141436464088,413,0.3260970873786408
592669,Hunter Renfroe,R,high,8.07837810362652,0.3279961737480907,0.3283478125969594,424,0.30206603773584906
592696,Eddie Rosario,L,high,8.294049640102028,0.3025562178368498,0.3230862715678919,319,0.23038485804416403
592885,Christian Yelich,L,high,8.534443544822764,0.3439932000225041,0.3654201730239874,315,0.3914161290322581
593160,Whit Merrifield,R,high,8.415603335654604,0.3140244807056592,0.3219517271922055,335,0.2832296072507553
593428,Xander Bogaerts,R,high,8.592115117933497,0.3405926975504556,0.3558891982182628,463,0.2998142548596112
593871,Jorge Polanco,L,high,8.161089512845797,0.3440852867442502,0.3338249071693802,469,0.2870922746781116
593934,Miguel Sanó,R,high,7.955074273262696,0.3539631232933621,0.3424699894699894,95,0.2746
594807,Adam Duvall,R,high,8.104099056143582,0.3154755849898413,0.3231935288781372,330,0.25196060606060605
595281,Kevin Kiermaier,L,high,8.124446855715847,0.28843442486013,0.3072968888888889,281,0.2408832116788321
595777,Jurickson Profar,L,high,8.091933455979893,0.3238690713428814,0.3120918273645546,668,0.36531714719271624
595879,Javier Báez,R,high,8.323851131338817,0.3055075931928724,0.3184885922330097,289,0.22427430555555553
595909,Jake Cave,L,medium,7.10085190894405,0.281814152568414,0.2989801980198019,346,0.2951831395348837
595978,Austin Hedges,R,high,7.679713639966372,0.2712932668603944,0.245883495145631,146,0.19151048951048952
596019,Francisco Lindor,L,high,8.587278798982926,0.3455720448485949,0.3461221559119731,689,0.3629056603773585
596103,Austin Slater,R,high,7.300472814267799,0.306883066210061,0.3274283783783783,212,0.2734528301886793
596115,Trevor Story,R,high,8.211482916445066,0.320786213790979,0.3523870179250407,106,0.31758653846153845
