batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,mean_cosine_real,mean_cosine_null
463610,263,1219,0.5118949958982772,R,0.25,0.75,0.3717532467532468,0.6550580431177446,86.54666666666667,100.86,10.004444444444443,,0.3532110091743119,0.2672650602409638,110.0,222.0,110.0,222.0,5.808142489980444,low,-0.0378109746109746,Gregorio Petit,R,0.8173807953714236,-0.06567509254078688
465041,264,7303,0.4016157743393126,R,0.2107057620184111,0.7892942379815888,0.1832187070151306,0.6180479825517994,87.79672268907564,102.0,9.343697478991595,,0.4094488188976378,0.3303329676357652,400.0,1423.0,400.0,1423.0,7.508787170634276,medium,0.0145686683063949,Francisco Cervelli,R,0.878293216907521,-0.0865346543584368
465674,265,507,0.5976331360946746,R,0.2475247524752475,0.7524752475247525,0.5137254901960784,0.6825396825396826,82.34242424242424,97.28,11.474747474747474,,0.4,0.270496644295302,46.0,103.0,46.0,103.0,5.0106352940962555,low,-0.0525759814267623,Pedro Ciriaco,R,0.9395543495288563,0.23636160505845336
465753,266,745,0.4590604026845638,L,0.3040935672514619,0.695906432748538,0.2349726775956284,0.6754617414248021,87.52790697674418,103.8,10.94186046511628,,0.4819277108433735,0.2909885714285714,39.0,136.0,39.0,136.0,5.170483995038151,low,-0.095697209653092,Pedro Florimón,L,0.9184617159998433,0.06639159517928517
465784,267,397,0.4710327455919395,L,0.2352941176470588,0.7647058823529411,0.2835051546391752,0.6502463054187192,88.39857142857143,101.9,-2.3142857142857145,,0.4305555555555556,0.2165673076923077,31.0,73.0,31.0,73.0,4.653960350157523,low,0.0834383561643835,Everth Cabrera,L,0.9163193460188616,0.242695229343676
466320,268,9666,0.47848127457066,L,0.1249729729729729,0.8750270270270271,0.3269082498072475,0.6540866458240285,89.16105165193113,103.6,9.631921824104234,,0.4339990258158792,0.3196616428033157,670.0,1984.0,670.0,1984.0,7.884199933676039,high,0.0102629679224843,Melky Cabrera,L,0.847566471046674,0.04170805593445044
466948,269,13,0.4615384615384615,R,0.5,0.5,0.5,0.4444444444444444,92.5,92.5,3.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.6931471805599453,low,,Jean Machi,R,0.8643385670898094,0.0643383634667174
466988,270,600,0.4583333333333333,L,0.2436363636363636,0.7563636363636363,0.2852233676975945,0.6213592233009708,85.46185567010309,100.0,9.536082474226804,,0.4375,0.1787878787878788,46.0,119.0,46.0,119.0,5.111987788356544,low,0.0186655096821337,Emilio Bonifácio,L,0.8679242811126735,0.019629357337808448
467055,271,5888,0.5487432065217391,L,0.2175796966883317,0.7824203033116682,0.4052033492822967,0.7374213836477987,89.26284153005464,105.1,10.375,,0.3614800759013282,0.2951866313699536,349.0,1162.0,349.0,1162.0,7.321188556739478,medium,0.077566593019643,Pablo Sandoval,L,0.8980040787135479,0.03105398420936728
467070,272,1096,0.5200729927007299,L,0.2228070175438596,0.7771929824561403,0.3117546848381601,0.7603143418467584,84.81602209944752,100.2,15.558011049723756,,0.4444444444444444,0.2957781818181818,85.0,190.0,85.0,190.0,5.62040086571715,low,0.0391835913312693,Elián Herrera,L,0.9180571477680397,-0.061601627079794614
467092,273,8636,0.5333487725798981,R,0.2082066869300911,0.7917933130699089,0.3297945995845834,0.7383221008598652,90.00335463258786,106.2,3.8881789137380194,,0.4006568144499179,0.3203853873946206,621.0,1870.0,621.0,1870.0,7.820840879907344,high,0.0388871907480602,Wilson Ramos,R,0.880054270178696,-0.06930499104784912
467100,274,489,0.5398773006134969,R,0.4393939393939394,0.5606060606060606,0.456221198156682,0.6066176470588235,82.23333333333333,98.06,-3.4375,,0.1304347826086956,0.0168942307692307,32.0,72.0,32.0,72.0,4.653960350157523,low,0.0151840277777777,Iván Nova,R,0.9589634484537433,-0.161418403021465
467143,275,475,0.5642105263157895,R,0.2835820895522388,0.7164179104477612,0.465863453815261,0.672566371681416,86.08414634146341,106.26,13.865853658536585,,0.5,0.2310227272727272,44.0,88.0,44.0,88.0,4.890349128221754,low,0.0455454545454545,Héctor Gómez,R,0.9395749324506946,-0.10033925972964325
467793,276,22151,0.4056250282154304,L,0.188536449638286,0.8114635503617139,0.202734072736652,0.6299429657794677,89.74704308268664,105.6,13.381857104629384,70.14166666666667,0.5288753799392097,0.3364403192871728,1624.0,3763.0,1624.0,3763.0,8.591929537530255,high,-0.0132304988028365,Carlos Santana,L,0.8473735263881633,0.11694453476258525
467798,277,137,0.4963503649635036,R,0.1470588235294118,0.8529411764705882,0.3472222222222222,0.6615384615384615,93.53225806451611,102.9,-0.7741935483870968,,0.3225806451612903,0.287390243902439,16.0,25.0,16.0,25.0,3.737669618283368,low,0.05061,José Tábata,R,0.8986369625733205,-0.2452876040587679
467827,278,7868,0.5222419928825622,L,0.1895838403504502,0.8104161596495497,0.3446695610226724,0.7200429876410532,87.0536231884058,100.8,8.664855072463768,,0.4354335620711166,0.3133197126178716,509.0,1718.0,509.0,1718.0,7.708859601047175,high,0.042379101664795,Gerardo Parra,L,0.8636112065291974,0.12824733387581055
468406,279,490,0.4816326530612245,L,0.1694915254237288,0.8305084745762712,0.3293172690763052,0.6390041493775933,83.6680412371134,99.04,14.814432989690722,,0.4193548387096774,0.2456062992125984,35.0,92.0,35.0,92.0,4.852030263919617,low,-0.0957145962732919,Jonathan Herrera,L,0.9070059499180259,-0.12267197173894276
468504,280,612,0.4967320261437908,R,0.2993421052631578,0.7006578947368421,0.3333333333333333,0.6363636363636364,83.95446428571428,101.45,8.651785714285714,,0.5142857142857142,0.191070796460177,33.0,80.0,33.0,80.0,4.736198448394496,low,0.053703409090909,Jhoulys Chacín,R,0.9529189335034055,0.18003809307581686
471083,281,3638,0.4843320505772402,L,0.246311010215664,0.753688989784336,0.2628783855549654,0.721937321937322,86.88424778761062,100.66,11.730973451327433,,0.4342342342342342,0.3063318534961154,131.0,770.0,131.0,770.0,6.804614520062624,medium,0.0321158025180926,Miguel Montero,L,0.8805669989952722,0.03814002476820119
