anchor,anchor_name,method,rank,batter,name,stand,stratum,log_prior_pa,woba_level,obs_platoon_diff,similarity_or_distance
665742,Juan Soto,stats,8,425783,Shin-Soo Choo,L,high,7.98514393119862,0.3502431880108992,0.0497234747250227,3.233997362668525
592626,Joc Pederson,embedding,1,592669,Hunter Renfroe,R,high,8.07837810362652,0.3283478125969594,0.0484781254412213,0.5370190739631653
592626,Joc Pederson,embedding,2,444432,Mark Trumbo,R,high,7.697575346802343,0.3264595821980018,-0.0134610790107799,0.5346538424491882
592626,Joc Pederson,embedding,3,543768,Travis Shaw,L,high,7.888709524182015,0.323347711927982,0.0410615190363976,0.5161653757095337
592626,Joc Pederson,embedding,4,656941,Kyle Schwarber,L,high,8.27664912542186,0.3520921119592875,0.0573357716982523,0.5104154944419861
592626,Joc Pederson,embedding,5,475582,Ryan Zimmerman,R,high,7.703910209616312,0.3338289711191335,0.0915922975235745,0.4907556474208832
592626,Joc Pederson,embedding,6,608336,Joey Gallo,L,high,8.046549357283078,0.3367664958360025,0.0107031348890386,0.4708050787448883
592626,Joc Pederson,embedding,7,518626,Josh Donaldson,R,high,8.330140460246382,0.367870477568741,0.0214097522555283,0.4697660803794861
592626,Joc Pederson,embedding,8,641355,Cody Bellinger,L,high,8.157943507105037,0.3462143266475644,0.0213985973494809,0.4256030023097992
592626,Joc Pederson,stats,1,571745,Mitch Haniger,R,high,7.884576510596324,0.3390331450094162,0.0217682324115326,1.4516294421561422
592626,Joc Pederson,stats,2,518626,Josh Donaldson,R,high,8.330140460246382,0.367870477568741,0.0214097522555283,1.4649138221355502
592626,Joc Pederson,stats,3,669221,Sean Murphy,R,high,7.436027816351848,0.3380731563421829,7.796420935113346e-05,1.470097376847852
592626,Joc Pederson,stats,4,519048,Mitch Moreland,L,high,7.928766321626696,0.3292003603603603,0.0386502360889485,1.5927298700772008
592626,Joc Pederson,stats,5,475253,Justin Smoak,L,high,7.833600223661104,0.3372889417360285,0.0200248675510287,1.5955760942866486
592626,Joc Pederson,stats,6,624585,Jorge Soler,R,high,8.116417072794205,0.3382514934289127,0.0374588423270497,1.6410410029982136
592626,Joc Pederson,stats,7,596142,Gary Sánchez,R,high,7.980707820869669,0.3305696202531645,0.0094675868597111,1.691242481086673
592626,Joc Pederson,stats,8,656941,Kyle Schwarber,L,high,8.27664912542186,0.3520921119592875,0.0573357716982523,1.7317841535376548
664761,Alec Bohm,embedding,1,666182,Bo Bichette,R,high,7.752764808851328,0.3535694026643747,0.040527027027027,0.5189864039421082
664761,Alec Bohm,embedding,2,467092,Wilson Ramos,R,high,7.820840879907344,0.3203853873946206,0.0388871907480602,0.4528200030326843
664761,Alec Bohm,embedding,3,646240,Rafael Devers,L,high,8.180320874773685,0.3583477164471841,0.0493803675830349,0.43960198760032654
664761,Alec Bohm,embedding,4,605113,Nick Ahmed,R,high,8.027476530860483,0.2869105452171074,0.0468877704688455,0.4359413683414459
664761,Alec Bohm,embedding,5,466320,Melky Cabrera,L,high,7.884199933676039,0.3196616428033157,0.0102629679224843,0.43210387229919434
664761,Alec Bohm,embedding,6,669257,Will Smith,R,high,7.578145472419466,0.3578613101330604,-0.0246240609802552,0.4283389449119568
664761,Alec Bohm,embedding,7,596103,Austin Slater,R,high,7.300472814267799,0.3274283783783783,0.0731916050903119,0.42524048686027527
664761,Alec Bohm,embedding,8,669242,Tommy Edman,L,high,7.789868559054706,0.3144016563146998,-0.0351665965067626,0.39223194122314453
664761,Alec Bohm,stats,1,456715,Lorenzo Cain,R,high,8.12533508671429,0.3314629958555358,0.0374494022913834,1.5207371711252209
664761,Alec Bohm,stats,2,435062,Howie Kendrick,R,high,7.598399329323964,0.3392462387161484,-0.00136072480564,1.8442429970511391
664761,Alec Bohm,stats,3,408234,Miguel Cabrera,R,high,8.278428259199071,0.3366611633223266,0.0395754965722695,1.8642478891558543
664761,Alec Bohm,stats,4,663993,Nathaniel Lowe,L,high,7.718240951959316,0.3456356761565836,0.0102496095549488,2.056844297778445
664761,Alec Bohm,stats,5,456781,Donovan Solano,R,high,7.403061091090091,0.3269390243902438,0.0129169418610878,2.088896323367889
664761,Alec Bohm,stats,6,553869,Elías Díaz,R,high,7.679713639966372,0.299708275543227,0.0136857664145574,2.1860820244323746
664761,Alec Bohm,stats,7,666971,Lourdes Gurriel,R,high,7.803435056952168,0.3367626633986928,0.0099236357569691,2.2015925065224033
664761,Alec Bohm,stats,8,570482,Gio Urshela,R,high,7.768956044538332,0.3204346723044397,0.0129114172506145,2.2940038617624268
656941,Kyle Schwarber,embedding,1,624585,Jorge Soler,R,high,8.116417072794205,0.3382514934289127,0.0374588423270497,0.612833559513092
656941,Kyle Schwarber,embedding,2,452095,Tyler Flowers,R,high,7.459338895220296,0.3216426512968299,0.027751206209356,0.5189346075057983
656941,Kyle Schwarber,embedding,3,592626,Joc Pederson,L,high,8.239857411018601,0.3427663674762407,0.0767776992817615,0.5104154944419861
656941,Kyle Schwarber,embedding,4,596142,Gary Sánchez,R,high,7.980707820869669,0.3305696202531645,0.0094675868597111,0.5038323402404785
656941,Kyle Schwarber,embedding,5,592273,Brandon Drury,R,high,7.936302693201959,0.3193322603719599,0.0136393674151852,0.5016666650772095
656941,Kyle Schwarber,embedding,6,657041,Lane Thomas,R,high,7.363913501405819,0.3236512365250475,0.0743626250868332,0.4971967339515686
656941,Kyle Schwarber,embedding,7,656305,Matt Chapman,R,high,8.185071477532283,0.3383806469604015,0.010710110077249,0.4962459206581116
656941,Kyle Schwarber,embedding,8,435063,Mike Napoli,R,high,7.372118028337787,0.3241119496855346,0.051473228663446,0.474204957485199
656941,Kyle Schwarber,stats,1,624585,Jorge Soler,R,high,8.116417072794205,0.3382514934289127,0.0374588423270497,1.5975900112080776
656941,Kyle Schwarber,stats,2,592626,Joc Pederson,L,high,8.239857411018601,0.3427663674762407,0.0767776992817615,1.7317841535376548
656941,Kyle Schwarber,stats,3,656305,Matt Chapman,R,high,8.185071477532283,0.3383806469604015,0.010710110077249,1.8085085055078325
656941,Kyle Schwarber,stats,4,596142,Gary Sánchez,R,high,7.980707820869669,0.3305696202531645,0.0094675868597111,1.8532713730443569
656941,Kyle Schwarber,stats,5,518626,Josh Donaldson,R,high,8.330140460246382,0.367870477568741,0.0214097522555283,1.8537928041932779
656941,Kyle Schwarber,stats,6,430832,José Bautista,R,high,7.72356247227797,0.34114203539823,-0.0290455276519829,1.9735540078437097
656941,Kyle Schwarber,stats,7,457708,Justin Upton,R,high,8.10832229017324,0.3367982535380909,-0.0201988462289671,2.1263928971459785
656941,Kyle Schwarber,stats,8,429665,Edwin Encarnación,R,high,8.07775756373692,0.3645777708786091,-0.0008501192477007,2.1968146738814527
