anchor,anchor_name,p_throws,x_bin,z_bin,n_pitches,quantity,anchor_value,league_value,delta
665742,Juan Soto,R,0.0,4.0,1139,p_contact,0.336843980994661,0.4170633698649205,-0.08021938887025948
665742,Juan Soto,R,0.0,4.0,1139,q,0.23308572098547373,0.24503908249519313,-0.011953361509719401
665742,Juan Soto,R,1.0,0.0,1350,p_swing,0.22531385108956817,0.40165542295244366,-0.1763415718628755
665742,Juan Soto,R,1.0,0.0,1350,p_contact,0.4068680477175238,0.4858199080181862,-0.07895186030066242
665742,Juan Soto,R,1.0,0.0,1350,q,0.2438663769154637,0.27267676836997273,-0.028810391454509032
665742,Juan Soto,R,1.0,1.0,1911,p_swing,0.5709829095922594,0.6272466055640996,-0.05626369597184022
665742,Juan Soto,R,1.0,1.0,1911,p_contact,0.8764063919763301,0.8482317983787575,0.028174593597572573
665742,Juan Soto,R,1.0,1.0,1911,q,0.4003515355113537,0.3667129213316537,0.033638614179700044
665742,Juan Soto,R,1.0,2.0,2285,p_swing,0.7090627256503708,0.6753376039294566,0.03372512172091413
665742,Juan Soto,R,1.0,2.0,2285,p_contact,0.9040229335394677,0.8774916365751814,0.026531296964286355
665742,Juan Soto,R,1.0,2.0,2285,q,0.4923241037639017,0.3799481864017261,0.11237591736217556
665742,Juan Soto,R,1.0,3.0,1670,p_swing,0.6614792560110103,0.6341888583832577,0.02729039762775265
665742,Juan Soto,R,1.0,3.0,1670,p_contact,0.7887419815013509,0.7836349590236913,0.005107022477659595
665742,Juan Soto,R,1.0,3.0,1670,q,0.48192972964690833,0.3454214296089318,0.13650830003797654
665742,Juan Soto,R,1.0,4.0,1155,p_swing,0.23734365791459916,0.3040083514239462,-0.06666469350934706
665742,Juan Soto,R,1.0,4.0,1155,p_contact,0.3678866879087248,0.43073792214606976,-0.06285123423734496
665742,Juan Soto,R,1.0,4.0,1155,q,0.3058511622475855,0.2602029017373533,0.04564826051023224
665742,Juan Soto,R,2.0,0.0,2194,p_swing,0.2097322653484056,0.43418831010806325,-0.22445604475965764
665742,Juan Soto,R,2.0,0.0,2194,p_contact,0.3753699562087012,0.48060252969020795,-0.10523257348150672
665742,Juan Soto,R,2.0,0.0,2194,q,0.23686541259669128,0.291390301384874,-0.05452488878818271
665742,Juan Soto,R,2.0,1.0,2555,p_swing,0.6050327211946482,0.6707654966626011,-0.06573277546795286
665742,Juan Soto,R,2.0,1.0,2555,p_contact,0.876134074947372,0.849851092994563,0.026282981952809092
665742,Juan Soto,R,2.0,1.0,2555,q,0.465938610888274,0.42141940631832625,0.044519204569947735
