batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
663624,Ryan Mountcastle,R,high,555.0,0.016849722081301,0.029742234904300058,51,46,5,51,50
663647,Ke'Bryan Hayes,R,high,479.0,0.0176355313880149,0.02854054770339559,35,50,-15,35,56
663656,Kyle Tucker,L,high,777.0,-0.0322124332793972,-0.02043093055103523,88,82,6,412,406
663662,Daz Cameron,R,low,73.0,0.0169920453097175,0.019866434426859536,49,150,-101,49,160
663697,Jonathan India,R,medium,411.0,0.0106696319646066,0.004323108246501728,276,310,-34,279,351
663698,Joey Bart,R,medium,177.0,0.0131226247832075,0.015181741092392564,209,252,-43,210,265
663728,Cal Raleigh,L,medium,242.0,-0.0129955477957617,-0.0004107394666781339,45,48,-3,369,364
663743,Nick Fortes,R,medium,163.0,0.016133523131443,0.030942440479502786,67,42,25,67,46
663757,Trent Grisham,L,high,510.0,-0.0339179252948519,0.0040843952113645,106,42,64,430,353
663837,Matt Vierling,R,medium,322.0,0.0157681555031242,0.02012602307634964,79,142,-63,79,152
663853,Romy Gonzalez,R,low,84.0,0.0167496342956856,0.02591770585597286,54,71,-17,54,77
663886,Tyler Stephenson,R,medium,351.0,0.0136316842475074,0.019897142773238286,197,149,48,198,159
663897,Luke Williams,R,medium,115.0,0.0132886652506938,0.02692297338086974,207,61,146,208,67
663898,Brendan Rodgers,R,medium,398.0,0.0173928442411435,0.03784696967393231,39,10,29,39,10
663993,Nathaniel Lowe,L,high,682.0,-0.039781506154736,-0.023035264672591094,185,92,93,509,416
664023,Ian Happ,L,high,768.0,-0.0083556833341433,-0.007644938977545146,23,53,-30,346,376
664034,Ty France,R,high,666.0,0.0099487623138043,0.012365278837190408,291,273,18,294,290
664040,Brandon Lowe,L,high,461.0,-0.0415506579721006,-0.05088724817076751,199,209,-10,523,533
664056,Harrison Bader,R,high,519.0,0.0187536875692571,0.027907511062679802,24,55,-31,24,61
664238,Dylan Moore,R,high,509.0,0.0151674638270913,0.02836327173294695,100,51,49,100,57
664314,Estevan Florial,L,low,22.0,-0.0365323265164451,-0.023111123752765084,154,94,60,478,418
664728,Kyle Isbel,L,medium,126.0,-0.038038448097077,-0.012411506732581679,167,57,110,491,381
664761,Alec Bohm,R,high,520.0,0.0188788340341756,0.047333800598660936,22,2,20,22,2
664770,Nathan Lukes,L,low,5.0,-0.0353542852414207,-0.02956012113724288,137,124,13,461,448
664774,Lamonte Wade,L,medium,164.0,-0.0325949078767248,-0.053929989058989325,92,213,-121,416,537
