anchor,anchor_name,p_throws,pitch_type,balls,strikes,n_pitches,quantity,anchor_value,league_value,delta
545361,Mike Trout,L,offspeed,3,0,8,p_swing,0.09066022050501488,0.08680561931831847,0.0038546011866964075
545361,Mike Trout,L,offspeed,3,0,8,p_contact,0.6016930327023147,0.431145961059367,0.1705470716429477
545361,Mike Trout,L,offspeed,3,0,8,q,0.40002519451081753,0.29432402349077164,0.10570117102004589
545361,Mike Trout,L,offspeed,3,1,95,p_swing,0.5250414303663236,0.5538905634584813,-0.028849133092157753
545361,Mike Trout,L,offspeed,3,1,95,p_contact,0.6887205228405563,0.5911614729478812,0.09755904989267505
545361,Mike Trout,L,offspeed,3,1,95,q,0.4948662569648341,0.33195252396087893,0.16291373300395517
545361,Mike Trout,L,offspeed,3,2,291,p_swing,0.6942882341226139,0.7454096939663373,-0.051121459843723405
545361,Mike Trout,L,offspeed,3,2,291,p_contact,0.7354617561997775,0.6702891578555633,0.06517259834421418
545361,Mike Trout,L,offspeed,3,2,291,q,0.4792688465405166,0.3191207641473238,0.16014808239319278
545361,Mike Trout,L,other,0,0,4,p_swing,2.872279249652301e-12,1.1525130052937019e-10,-1.1237902127971788e-10
545361,Mike Trout,L,other,0,0,4,p_contact,0.17802805791143328,0.1907687457722568,-0.012740687860823524
545361,Mike Trout,L,other,0,0,4,q,0.16294606029987335,0.1741318056732416,-0.01118574537336825
545361,Mike Trout,L,other,1,0,9,p_swing,1.1836297306250884e-11,3.1115464025459394e-10,-2.993183429483431e-10
545361,Mike Trout,L,other,1,0,9,p_contact,0.03615036934530104,0.024213870838738733,0.011936498506562306
545361,Mike Trout,L,other,1,0,9,q,0.17027977936797672,0.17171181031399305,-0.0014320309460163216
545361,Mike Trout,L,other,2,0,8,p_swing,5.211410517782411e-10,7.534637208512423e-09,-7.0134961567341814e-09
545361,Mike Trout,L,other,2,0,8,p_contact,0.04657151963328943,0.04130411340458522,0.005267406228704204
545361,Mike Trout,L,other,2,0,8,q,0.1718885488808155,0.17786264733411372,-0.0059740984532982155
545361,Mike Trout,L,other,3,0,6,p_swing,1.0520606777776932e-10,1.6504020047405272e-09,-1.545195936962758e-09
545361,Mike Trout,L,other,3,0,6,p_contact,0.2014537323557306,0.21524690790095974,-0.01379317554522913
545361,Mike Trout,L,other,3,0,6,q,0.15133628249168396,0.15598492390165725,-0.0046486414099732865
665742,Juan Soto,L,breaking,0,0,2627,p_swing,0.18610735778125548,0.22531867239748124,-0.03921131461622576
665742,Juan Soto,L,breaking,0,0,2627,p_contact,0.5533648505075202,0.5879152442454931,-0.03455039373797297
665742,Juan Soto,L,breaking,0,0,2627,q,0.30687949702081274,0.29396990104183857,0.012909595978974175
665742,Juan Soto,L,breaking,0,1,1486,p_swing,0.2920284380735047,0.47064572644267705,-0.17861728836917234
665742,Juan Soto,L,breaking,0,1,1486,p_contact,0.48699494806331495,0.5273843933982294,-0.04038944533491445
665742,Juan Soto,L,breaking,0,1,1486,q,0.2642010985340918,0.2751974076788727,-0.010996309144780891
665742,Juan Soto,L,breaking,0,2,1000,p_swing,0.3605428070913718,0.524322003954447,-0.16377919686307513
665742,Juan Soto,L,breaking,0,2,1000,p_contact,0.4444555029870891,0.4735956523483948,-0.02914014936130571
665742,Juan Soto,L,breaking,0,2,1000,q,0.23244486907497047,0.25644815241832286,-0.02400328334335239
665742,Juan Soto,L,breaking,1,0,788,p_swing,0.22252942576262277,0.34421357376716005,-0.12168414800453728
665742,Juan Soto,L,breaking,1,0,788,p_contact,0.5224653549933647,0.5612089460853708,-0.03874359109200609
665742,Juan Soto,L,breaking,1,0,788,q,0.293631142856279,0.29257275844541225,0.0010583844108667528
