batter,stand,stratum,dim,gradient
595978,R,high,6,0.0019301212229884193
605131,R,high,6,0.000942075420136884
605170,L,medium,6,0.002549643810542703
605346,R,low,6,0.0011378838851377122
608336,L,high,6,-0.0011556258547224289
624428,L,high,6,0.0018561045172574833
650859,L,high,6,0.0015257535620417327
656555,R,high,6,0.0019311256663763592
656941,L,high,6,-0.00033241922498907124
660707,R,medium,6,0.0031434013022677157
662139,L,medium,6,-0.00010355271750431223
664761,R,high,6,0.0003598510751942599
665742,L,high,6,-0.0009167659299509675
665926,L,medium,6,-0.0004617297724607091
667472,R,low,6,5.021737200562453e-05
668709,L,medium,6,-0.0003823386133507802
669289,R,medium,6,0.0011850936322723605
669394,R,medium,6,-0.0010201709661164496
676113,L,low,6,0.0
677347,R,low,6,0.003086324402643727
680474,R,low,6,0.0
680718,L,low,6,0.0
680776,L,medium,6,0.0014616011615698312
680869,R,low,6,0.00016996422104285087
681146,R,low,6,0.002591267386627729
682177,L,low,6,0.0
682626,R,medium,6,-0.00028409235486523995
686527,L,low,6,0.0009161107709985066
686894,R,medium,6,0.0011327335022739233
691718,L,low,6,0.00015314942683262872
700250,L,low,6,0.0
457705,R,high,7,-0.001628826848491354
467793,L,high,7,0.0007193179841571722
502671,R,high,7,-0.0020603930431459063
545121,L,medium,7,-0.0020255533459145117
545361,R,high,7,-0.00043487512183154815
571745,R,high,7,-0.0002198216732876542
592325,L,high,7,-0.0005046621457565706
592626,L,high,7,-0.0034684645305594177
593871,L,high,7,-0.0022569417451026217
595978,R,high,7,-0.00193500807855902
605131,R,high,7,-0.0007435391803064316
605170,L,medium,7,-0.001810123355312357
605346,R,low,7,-0.0009345047773242235
608336,L,high,7,-0.0007671603447034065
624428,L,high,7,-0.0011391998620998074
650859,L,high,7,-0.004025831253765659
656555,R,high,7,-0.0015290286171950232
656941,L,high,7,-0.004590880088361556
660707,R,medium,7,6.265129684114905e-05
662139,L,medium,7,-0.002989701981896029
664761,R,high,7,-0.003926503068197337
665742,L,high,7,-0.0014299820933452926
665926,L,medium,7,-0.0036724911978725607
667472,R,low,7,-0.0012900231352237362
668709,L,medium,7,-0.001373265147989172
669289,R,medium,7,0.0008803086302767754
669394,R,medium,7,-0.00238813999364586
676113,L,low,7,0.0
677347,R,low,7,0.00022992297887313107
680474,R,low,7,0.0
680718,L,low,7,0.0
680776,L,medium,7,-0.002623789531580735
680869,R,low,7,-0.002161118876722827
681146,R,low,7,-0.0002349523799461111
