head,stat,r_partial,ci_low,ci_high,n
ev,obs_platoon_diff,0.06147827358636905,0.025157431909572307,0.09773986482744287,1626
la,swing_rate,0.12383738460533032,0.08848581345303849,0.1617418769554384,1762
la,whiff_rate,0.009668279205337183,-0.025128573598660792,0.042799379669891946,1757
la,contact_rate,-0.009668279205337195,-0.042799379669891946,0.025128573598660765,1757
la,chase_rate,0.0615907522095971,0.030934861884283574,0.09334855309793479,1752
la,zone_swing_rate,0.17389407155732908,0.1369617214525286,0.21328253503047054,1761
la,ev_mean,0.08406266434303183,0.04828957285744761,0.12430728658050448,1720
la,ev_p90,0.01954524718463147,-0.016544756540124914,0.0573600034245723,1720
la,la_mean,0.5009611065038195,0.46266810379005263,0.5420012433158341,1720
la,bat_speed_mean,0.03311660880830429,-0.05857310994176554,0.11632407140797968,571
la,pull_rate,0.21918941276716639,0.18660183434228167,0.2531634884573892,1721
la,woba_level,0.1390451845278942,0.10878020253696087,0.1721078398886067,1759
la,obs_platoon_diff,0.012286707043587607,-0.02251897255784363,0.048569563069739426,1626
spray,swing_rate,0.012624524396843062,-0.02143718616227805,0.04545049222050839,1762
spray,whiff_rate,0.08301227826666165,0.052532584320166276,0.11314237495882011,1757
spray,contact_rate,-0.08301227826666174,-0.1131423749588201,-0.05253258432016626,1757
spray,chase_rate,0.022313886980637847,-0.005992871122400504,0.053372346397540966,1752
spray,zone_swing_rate,0.02993685806987096,-0.003384637006658269,0.06214828961850317,1761
spray,ev_mean,0.07934557176245434,0.04833835904958459,0.11171861988261605,1720
spray,ev_p90,0.07140614010044612,0.037128879593528695,0.1067666133015507,1720
spray,la_mean,0.29587565762708146,0.2638437769135232,0.33057671677772293,1720
spray,bat_speed_mean,0.12101198075651866,0.032483973459002294,0.20097601993035197,571
spray,pull_rate,0.3167002938774489,0.28585654920240594,0.3489646473911056,1721
spray,woba_level,0.05317936436642327,0.028761219922107287,0.07748015150187074,1759
spray,obs_platoon_diff,0.004165868010249114,-0.02600070817347721,0.033423783727083475,1626
