batter,embedding_index,swing,contact,split_inplay,ev,la,spray
455104,194,0.4243108,0.54605037,0.3145006,81.44766,14.8097725,0.43522936
455117,195,0.44498295,0.6197252,0.36605218,82.52463,14.0698185,6.7635574
455139,196,0.45031878,0.5801804,0.32813916,81.64458,17.45266,8.251492
455369,197,0.5445144,0.75185764,0.44858977,82.06945,13.401235,6.1977634
455755,198,0.37045825,0.70637316,0.46035972,76.76175,7.953378,0.91700405
455759,199,0.42382374,0.64000255,0.40435785,78.60917,14.2698345,10.210258
455976,200,0.435969,0.76212794,0.45399228,85.95739,7.408998,-4.731859
456030,201,0.42797855,0.7520311,0.4673274,82.37311,6.86368,2.2884934
456071,202,0.33439094,0.6881371,0.43752092,82.811935,5.450402,1.9270564
456078,203,0.43541646,0.64907664,0.39470425,83.27544,12.750494,4.1924577
456121,204,0.42990687,0.6299193,0.40618652,82.524185,7.1742334,2.04726
456124,205,0.4958917,0.6483696,0.4083505,83.27383,11.587102,7.514305
456422,206,0.42051494,0.5770576,0.36716992,77.8868,7.0940986,-0.5911531
456488,207,0.5494,0.7689092,0.4754934,85.12187,8.077222,2.068592
456501,208,0.49260873,0.69808483,0.43037933,76.98739,-5.3531055,-10.009382
456665,209,0.4596187,0.6236038,0.3635054,80.60501,11.49685,9.549822
456714,210,0.44913197,0.6972716,0.41761503,84.40437,6.9469,1.0471885
456715,211,0.46746692,0.67592865,0.3940244,82.35466,7.2367153,-3.1580112
456781,212,0.4844035,0.6869322,0.36880547,83.463974,14.491537,-3.491772
457449,213,0.44781646,0.5073934,0.26445606,80.00912,20.488699,4.53329
457454,214,0.46454918,0.584677,0.3645511,84.39181,17.033558,4.7336607
457477,215,0.44998857,0.6425447,0.34815294,80.71514,15.093784,0.016676957
457574,216,0.42307845,0.67048895,0.40383747,78.904236,13.076245,2.012492
457705,217,0.4169399,0.59289646,0.37279302,82.42068,12.55196,7.0758643
457706,218,0.4192675,0.62701356,0.36775807,82.62917,11.317433,-3.8501732
457708,219,0.4432894,0.57696337,0.36458355,83.59192,13.542346,2.8447797
457727,220,0.42063886,0.64982885,0.41771325,81.26775,3.5118744,-1.2410668
457759,221,0.4522458,0.7320217,0.41447425,85.03034,17.50509,2.1647596
457760,222,0.58557034,0.63847315,0.3506829,81.391,19.353685,7.883431
457762,223,0.4449447,0.6715422,0.41999164,79.15792,3.086723,5.3235173
457763,224,0.48147327,0.73842174,0.46285245,85.01419,10.911252,2.179849
457775,225,0.425968,0.64554775,0.4001675,82.10922,7.202665,4.262839
457787,226,0.5376572,0.5825281,0.3732702,83.14456,12.332207,10.020086
457788,227,0.4480573,0.64975744,0.3556437,78.05747,12.1091795,-5.653731
457789,228,0.40996784,0.63889366,0.35562629,80.34999,12.793215,-4.1890907
457803,229,0.51896065,0.62935656,0.392832,83.53388,11.382975,6.5124273
457915,230,0.42579138,0.44014007,0.2786698,77.613174,-9.225916,3.3766973
457926,231,0.43187183,0.64840853,0.39760047,77.237434,9.830884,5.437332
458015,232,0.41516185,0.66044366,0.3987101,83.384125,10.661174,-2.9001548
458085,233,0.45781025,0.652708,0.37354743,82.2567,7.9092183,1.6386293
458582,234,0.4814444,0.59037757,0.32243788,83.07925,14.563574,-4.932532
458668,235,0.495937,0.56473887,0.33736908,78.36144,9.9394455,2.0681298
458675,236,0.5026674,0.5808286,0.366445,83.477295,15.404453,7.293992
458681,237,0.5048232,0.4865747,0.34404358,77.16704,4.141874,4.57525
