ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
6,0,0.0016304130028073475,0.002146046734294652,-4.395203337392045e-05
6,1,0.0023085213862518005,0.0021130306306901187,4.36983604267318e-06
6,2,0.0021092018147572415,0.0018158856982493211,-5.451492030053764e-06
6,3,0.001415274417702109,0.0012381038851699915,1.618702718505536e-05
6,4,0.0015249529120694857,0.001328898170082458,2.4563993707517417e-06
6,5,0.0015122977011809422,0.0015269947917096564,2.6985764041839487e-06
6,6,0.0016451774155106483,0.0015187407658085231,5.9509216453578554e-05
6,7,0.0013889093950176434,0.0013206441441813244,-9.856953740174862e-06
6,8,0.000964959830251438,0.0009574670045314602,5.830228009441599e-05
6,9,0.001442694041293953,0.0012381038851699915,-2.606849563585421e-05
6,10,0.00149858788938502,0.0013619142736869907,-3.153062004886396e-05
6,11,0.0014595676558120112,0.0014031844031926572,4.536815305931982e-05
6,12,0.0010124168710834759,0.001040007263542793,3.905436852705853e-06
6,13,0.0014732774676079331,0.0015352488176107897,-2.2067205552069947e-05
6,14,0.0014469124449234677,0.0014692166104017235,-7.238045384877677e-05
6,15,0.0009554684220850305,0.0009327049268280604,-9.780522387620793e-05
6,16,0.0014890964812186124,0.0013536602477858576,-2.0910245353619144e-05
6,17,0.0013952370004619154,0.0012876280405767914,-1.4205420111548357e-05
6,18,0.0019151552477995751,0.0017085833615345886,-5.45558215755812e-06
6,19,0.001726381685378802,0.001749853491040255,-7.1499155473676925e-06
6,20,0.0015977203746786106,0.0014692166104017233,-5.9196166733747704e-06
6,21,0.0024814759350618946,0.002368905433625251,3.403097098699631e-05
6,22,0.0029064801007354785,0.0027568446509785146,4.3820418826755454e-05
6,23,0.0031100180758595526,0.004993685670185634,-1.1149680654559404e-05
7,0,0.0012918861115388104,0.0017663615428425215,-2.088076158496159e-05
7,1,0.0023696882388797606,0.002203824915602585,0.00010449241246940622
7,2,0.00232434039986248,0.002195570889701452,5.82100644018577e-05
7,3,0.001456403853089875,0.001304136092379058,-1.66994863217525e-05
7,4,0.0015217891093473497,0.0014031844031926572,5.6787315752941084e-05
7,5,0.0016314676037147264,0.0014939786881051232,-6.714478058733272e-05
7,6,0.0017337638917304524,0.0017003293356334553,3.0803719757057824e-05
7,7,0.0013751995832217215,0.0012628659628733914,-3.775449442451036e-05
7,8,0.000990270252028525,0.0008336566160144611,6.809115186878137e-05
7,9,0.0014205474222390023,0.0014279464808960572,6.707406710797334e-05
7,10,0.0014469124449234677,0.001279374014675658,6.674666476354349e-05
7,11,0.0016304130028073475,0.001543502843511923,7.146008527686174e-05
7,12,0.0011347505763393958,0.0009079428491246606,5.7822107172322e-05
7,13,0.0015639731456424943,0.0013866763513903906,-1.6817274272028685e-05
7,14,0.0016008841774007463,0.0013454062218847243,-5.367877433028006e-05
7,15,0.0010451094992122132,0.0009822290822348602,-5.8317514713855485e-05
7,16,0.0016399044109737552,0.001361914273686991,6.002691888626637e-07
7,17,0.001548154132031815,0.0015104867399073898,3.0268187068709263e-05
7,18,0.002068072379369475,0.0018241397241504545,1.4215277394856822e-05
7,19,0.0018613706015232654,0.0019479501126674537,1.8400878009835667e-05
7,20,0.0017917669416362765,0.0017911236205459214,1.078757353633845e-05
7,21,0.00271454273559257,0.002880655039495514,2.6620415141123442e-06
7,22,0.0031690757266727553,0.0030457355575181796,4.8327849779737815e-05
7,23,0.00339476032085178,0.005579721509166097,-1.226673387309205e-05
8,0,0.000934376403937458,0.0013619142736869907,-1.4370759246370892e-05
8,1,0.0020997104065908338,0.0020057282939753866,-8.109512314618922e-05
8,2,0.0021534950528671435,0.001898425957260654,3.116911140706235e-05
